season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2017,1,1,1,t.1,Arnold Palmer Lite,Le'Veon Bell,,
2017,2,1,2,t.2,Baking Dabs,Antonio Brown,,
2017,3,1,3,t.3,The Mandingo...,LeSean McCoy,,
2017,4,1,4,t.4,Mrs. Doubtfire,Julio Jones,,
2017,5,1,5,t.5,RIP August Ames,A.J. Green,,
2017,6,1,6,t.6,Mrs. Doubtfire,Todd Gurley,,
2017,7,1,7,t.7,Fuck the Process,Aaron Rodgers,,
2017,8,1,8,t.8,Mrs. Doubtfire,Dez Bryant,,
2017,9,1,9,t.9,Deez Hos Ain't Royal,Amari Cooper,,
2017,10,1,10,t.10,The Mandingo...,T.Y. Hilton,,
2017,1,2,1,t.1,The Dream Team,Ezekiel Elliott,,
2017,2,2,2,t.2,Deez Hos Ain't Royal,Brandin Cooks,,
2017,3,2,3,t.3,The Dream Team,Melvin Gordon III,,
2017,4,2,4,t.4,The Mandingo...,Rob Gronkowski,,
2017,5,2,5,t.5,BergerBoy Brigade,DeMarco Murray,,
2017,6,2,6,t.6,RIP August Ames,Marshawn Lynch,,
2017,7,2,7,t.7,Mrs. Doubtfire,Leonard Fournette,,
2017,8,2,8,t.8,The Mandingo...,Carlos Hyde,,
2017,9,2,9,t.9,Baking Dabs,Tom Brady,,
2017,10,2,10,t.10,Arnold Palmer Lite,Drew Brees,,
2017,1,3,1,t.1,Arnold Palmer Lite,Demaryius Thomas,,
2017,2,3,2,t.2,Baking Dabs,Christian McCaffrey,,
2017,3,3,3,t.3,The Mandingo...,Alshon Jeffery,,
2017,4,3,4,t.4,BergerBoy Brigade,Matt Ryan,,
2017,5,3,5,t.5,RIP August Ames,Andrew Luck,,
2017,6,3,6,t.6,BergerBoy Brigade,Allen Robinson,,
2017,7,3,7,t.7,Fuck the Process,Joe Mixon,,
2017,8,3,8,t.8,The Dream Team,Mike Evans,,
2017,9,3,9,t.9,Deez Hos Ain't Royal,Travis Kelce,,
2017,10,3,10,t.10,Trust the Process,Dalvin Cook,,
2017,1,4,1,t.1,The Dream Team,Adrian Peterson,,
2017,2,4,2,t.2,Deez Hos Ain't Royal,Michael Crabtree,,
2017,3,4,3,t.3,Mrs. Doubtfire,Russell Wilson,,
2017,4,4,4,t.4,Fuck the Process,Keenan Allen,,
2017,5,4,5,t.5,BergerBoy Brigade,Lamar Miller,,
2017,6,4,6,t.6,RIP August Ames,DeAndre Hopkins,,
2017,7,4,7,t.7,Mrs. Doubtfire,Greg Olsen,,
2017,8,4,8,t.8,The Mandingo...,Golden Tate,,
2017,9,4,9,t.9,Baking Dabs,Marcus Mariota,,
2017,10,4,10,t.10,Arnold Palmer Lite,Martavis Bryant,,
2017,1,5,1,t.1,Arnold Palmer Lite,Mike Gillislee,,
2017,2,5,2,t.2,Baking Dabs,Mark Ingram II,,
2017,3,5,3,t.3,Fuck the Process,Julian Edelman,,
2017,4,5,4,t.4,Mrs. Doubtfire,Derek Carr,,
2017,5,5,5,t.5,Mrs. Doubtfire,Kelvin Benjamin,,
2017,6,5,6,t.6,BergerBoy Brigade,Cam Newton,,
2017,7,5,7,t.7,Fuck the Process,Jimmy Graham,,
2017,8,5,8,t.8,The Dream Team,Sammy Watkins,,
2017,9,5,9,t.9,Deez Hos Ain't Royal,Ben Roethlisberger,,
2017,10,5,10,t.10,Trust the Process,Eddie Lacy,,
2017,1,6,1,t.1,Trust the Process,Brandon Marshall,,
2017,2,6,2,t.2,Deez Hos Ain't Royal,Bilal Powell,,
2017,3,6,3,t.3,The Dream Team,Jordy Nelson,,
2017,4,6,4,t.4,Fuck the Process,Willie Snead IV,,
2017,5,6,5,t.5,BergerBoy Brigade,Emmanuel Sanders,,
2017,6,6,6,t.6,RIP August Ames,Ameer Abdullah,,
2017,7,6,7,t.7,RIP August Ames,Stefon Diggs,,
2017,8,6,8,t.8,The Mandingo...,Doug Martin,,
2017,9,6,9,t.9,Baking Dabs,Tevin Coleman,,
2017,10,6,10,t.10,Arnold Palmer Lite,Larry Fitzgerald,,
2017,1,7,1,t.1,Arnold Palmer Lite,LeGarrette Blount,,
2017,2,7,2,t.2,Baking Dabs,Martellus Bennett,,
2017,3,7,3,t.3,The Mandingo...,Philip Rivers,,
2017,4,7,4,t.4,Mrs. Doubtfire,Frank Gore,,
2017,5,7,5,t.5,RIP August Ames,Jay Ajayi,,
2017,6,7,6,t.6,Arnold Palmer Lite,Kyle Rudolph,,
2017,7,7,7,t.7,Fuck the Process,Jamison Crowder,,
2017,8,7,8,t.8,Trust the Process,Jameis Winston,,
2017,9,7,9,t.9,Deez Hos Ain't Royal,Paul Perkins,,
2017,10,7,10,t.10,Trust the Process,Matthew Stafford,,
2017,1,8,1,t.1,Trust the Process,DeSean Jackson,,
2017,2,8,2,t.2,Deez Hos Ain't Royal,Donte Moncrief,,
