season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2015,1,1,1,t.1,LeGarratte Blunt,Adrian Peterson,,
2015,2,1,2,t.2,ButtersBottomBitches,Eddie Lacy,,
2015,3,1,3,t.3,Big Don's Cuties,Jamaal Charles,,
2015,4,1,4,t.4,The Danny O'Shea's,Marshawn Lynch,,
2015,5,1,5,t.5,Tyrodasaurus Rex,Demaryius Thomas,,
2015,6,1,6,t.6,Big Don's Cuties,Aaron Rodgers,,
2015,7,1,7,t.7,Deez Hos Ain't Royal,Andrew Luck,,
2015,8,1,8,t.8,Dirty Old Men,Rob Gronkowski,,
2015,9,1,9,t.9,LeGarratte Blunt,Dez Bryant,,
2015,10,1,10,t.10,BergerBoy Brigade,DeMarco Murray,,
2015,1,2,1,t.1,LEMVP & Associates,Drew Brees,,
2015,2,2,2,t.2,LeGarratte Blunt,Julio Jones,,
2015,3,2,3,t.3,Tyrodasaurus Rex,Randall Cobb,,
2015,4,2,4,t.4,RIP Brittney Murphy,Calvin Johnson,,
2015,5,2,5,t.5,RIP Brittney Murphy,Peyton Manning,,
2015,6,2,6,t.6,Tyrodasaurus Rex,LeSean McCoy,,
2015,7,2,7,t.7,The Danny O'Shea's,A.J. Green,,
2015,8,2,8,t.8,Big Don's Cuties,Matt Forte,,
2015,9,2,9,t.9,ButtersBottomBitches,Jeremy Maclin,,
2015,10,2,10,t.10,BergerBoy Brigade,Antonio Brown,,
2015,1,3,1,t.1,LeGarratte Blunt,Russell Wilson,,
2015,2,3,2,t.2,ButtersBottomBitches,Melvin Gordon III,,
2015,3,3,3,t.3,RIP Brittney Murphy,Alfred Morris,,
2015,4,3,4,t.4,The Danny O'Shea's,Jimmy Graham,,
2015,5,3,5,t.5,LeGarratte Blunt,Frank Gore,,
2015,6,3,6,t.6,Deez Hos Ain't Royal,Ben Roethlisberger,,
2015,7,3,7,t.7,Deez Hos Ain't Royal,Joseph Randle,,
2015,8,3,8,t.8,Dirty Old Men,Todd Gurley,,
2015,9,3,9,t.9,LEMVP & Associates,Matt Ryan,,
2015,10,3,10,t.10,BergerBoy Brigade,T.J. Yeldon,,
2015,1,4,1,t.1,LeGarratte Blunt,Tom Brady,,
2015,2,4,2,t.2,LEMVP & Associates,C.J. Spiller,,
2015,3,4,3,t.3,Dirty Old Men,Arian Foster,,
2015,4,4,4,t.4,RIP Brittney Murphy,Giovani Bernard,,
2015,5,4,5,t.5,Deez Hos Ain't Royal,Andre Johnson,,
2015,6,4,6,t.6,Tyrodasaurus Rex,Tony Romo,,
2015,7,4,7,t.7,The Danny O'Shea's,Julian Edelman,,
2015,8,4,8,t.8,Big Don's Cuties,Martellus Bennett,,
2015,9,4,9,t.9,ButtersBottomBitches,Ameer Abdullah,,
2015,10,4,10,t.10,LEMVP & Associates,Keenan Allen,,
2015,1,5,1,t.1,LeGarratte Blunt,Greg Olsen,,
2015,2,5,2,t.2,Big Don's Cuties,Julius Thomas,,
2015,3,5,3,t.3,Big Don's Cuties,Sammy Watkins,,
2015,4,5,4,t.4,The Danny O'Shea's,Cam Newton,,
2015,5,5,5,t.5,Tyrodasaurus Rex,Le'Veon Bell,,
2015,6,5,6,t.6,The Danny O'Shea's,Amari Cooper,,
2015,7,5,7,t.7,Deez Hos Ain't Royal,Rashad Jennings,,
2015,8,5,8,t.8,Dirty Old Men,Matthew Stafford,,
2015,9,5,9,t.9,BergerBoy Brigade,T.Y. Hilton,,
2015,10,5,10,t.10,ButtersBottomBitches,Martavis Bryant,,
2015,1,6,1,t.1,RIP Brittney Murphy,Allen Robinson,,
2015,2,6,2,t.2,LEMVP & Associates,Vincent Jackson,,
2015,3,6,3,t.3,Tyrodasaurus Rex,LeGarrette Blount,,
2015,4,6,4,t.4,RIP Brittney Murphy,Travis Kelce,,
2015,5,6,5,t.5,ButtersBottomBitches,Teddy Bridgewater,,
2015,6,6,6,t.6,BergerBoy Brigade,Brandin Cooks,,
2015,7,6,7,t.7,RIP Brittney Murphy,Andy Dalton,,
2015,8,6,8,t.8,LeGarratte Blunt,Brandon Marshall,,
2015,9,6,9,t.9,The Danny O'Shea's,Mike Wallace,,
2015,10,6,10,t.10,Big Don's Cuties,Philip Rivers,,
2015,1,7,1,t.1,LeGarratte Blunt,Ryan Tannehill,,
2015,2,7,2,t.2,ButtersBottomBitches,Mike Evans,,
2015,3,7,3,t.3,Big Don's Cuties,Emmanuel Sanders,,
2015,4,7,4,t.4,LEMVP & Associates,Eric Decker,,
2015,5,7,5,t.5,The Danny O'Shea's,Joique Bell,,
2015,6,7,6,t.6,Deez Hos Ain't Royal,Jordan Cameron,,
2015,7,7,7,t.7,Deez Hos Ain't Royal,DeSean Jackson,,
2015,8,7,8,t.8,Dirty Old Men,Eli Manning,,
2015,9,7,9,t.9,LEMVP & Associates,Marques Colston,,
2015,10,7,10,t.10,LEMVP & Associates,Shane Vereen,,
2015,1,8,1,t.1,Tyrodasaurus Rex,Charles Johnson,,
2015,2,8,2,t.2,The Danny O'Shea's,Carlos Hyde,,
2015,3,8,3,t.3,Dirty Old Men,Nelson Agholor,,
2015,4,8,4,t.4,Deez Hos Ain't Royal,Doug Martin,,
2015,5,8,5,t.5,RIP Brittney Murphy,DeAndre Hopkins,,
2015,6,8,6,t.6,Tyrodasaurus Rex,Victor Cruz,,
2015,7,8,7,t.7,Dirty Old Men,Duke Johnson,,
2015,8,8,8,t.8,Tyrodasaurus Rex,Carson Palmer,,
2015,9,8,9,t.9,ButtersBottomBitches,Lamar Miller,,
2015,10,8,10,t.10,LeGarratte Blunt,John Brown,,
2015,1,9,1,t.1,LeGarratte Blunt,Tevin Coleman,,
2015,2,9,2,t.2,ButtersBottomBitches,Cody Latimer,,
2015,3,9,3,t.3,Big Don's Cuties,Jordan Matthews,,
2015,4,9,4,t.4,Tyrodasaurus Rex,Larry Fitzgerald,,
2015,5,9,5,t.5,BergerBoy Brigade,Tre Mason,,
2015,6,9,6,t.6,RIP Brittney Murphy,Jeremy Hill,,
2015,7,9,7,t.7,Deez Hos Ain't Royal,Golden Tate,,
2015,8,9,8,t.8,Dirty Old Men,Ryan Mathews,,
2015,9,9,9,t.9,LEMVP & Associates,Devin Funchess,,
2015,10,9,10,t.10,BergerBoy Brigade,Colin Kaepernick,,
2015,1,10,1,t.1,LeGarratte Blunt,Zach Ertz,,
2015,2,10,2,t.2,LEMVP & Associates,Jay Cutler,,
2015,3,10,3,t.3,Dirty Old Men,Alfred Blue,,
2015,4,10,4,t.4,Deez Hos Ain't Royal,David Cobb,,
2015,5,10,5,t.5,RIP Brittney Murphy,Matt Jones,,
2015,6,10,6,t.6,Tyrodasaurus Rex,Jordy Nelson,,
2015,7,10,7,t.7,The Danny O'Shea's,Kelvin Benjamin,,
2015,8,10,8,t.8,Big Don's Cuties,Bishop Sankey,,
2015,9,10,9,t.9,ButtersBottomBitches,Alshon Jeffery,,
2015,10,10,10,t.10,BergerBoy Brigade,Joe Flacco,,
2015,1,11,1,t.1,LeGarratte Blunt,Ronnie Hillman,,
2015,2,11,2,t.2,ButtersBottomBitches,Anquan Boldin,,
2015,3,11,3,t.3,Big Don's Cuties,Breshad Perriman,,
2015,4,11,4,t.4,The Danny O'Shea's,DeVante Parker,,
2015,5,11,5,t.5,BergerBoy Brigade,Jameis Winston,,
2015,6,11,6,t.6,RIP Brittney Murphy,Blake Bortles,,
2015,7,11,7,t.7,Deez Hos Ain't Royal,Darren McFadden,,
2015,8,11,8,t.8,Dirty Old Men,Torrey Smith,,
2015,9,11,9,t.9,LEMVP & Associates,Seahawks,,
2015,10,11,10,t.10,BergerBoy Brigade,Darren Sproles,,
2015,1,12,1,t.1,BergerBoy Brigade,Cordarrelle Patterson,,
2015,2,12,2,t.2,LEMVP & Associates,Mark Ingram II,,
2015,3,12,3,t.3,Dirty Old Men,Terrance Williams,,
2015,4,12,4,t.4,Deez Hos Ain't Royal,Bills,,
2015,5,12,5,t.5,RIP Brittney Murphy,Kendall Wright,,
2015,6,12,6,t.6,Tyrodasaurus Rex,Marcus Mariota,,
2015,7,12,7,t.7,The Danny O'Shea's,Texans,,
2015,8,12,8,t.8,Big Don's Cuties,Steve Smith,,
2015,9,12,9,t.9,ButtersBottomBitches,Derek Carr,,
2015,10,12,10,t.10,Dirty Old Men,Eagles,,
2015,1,13,1,t.1,LeGarratte Blunt,Devonta Freeman,,
2015,2,13,2,t.2,ButtersBottomBitches,David Johnson,,
2015,3,13,3,t.3,Big Don's Cuties,Rams,,
2015,4,13,4,t.4,The Danny O'Shea's,Knile Davis,,
2015,5,13,5,t.5,Tyrodasaurus Rex,Jason Witten,,
2015,6,13,6,t.6,RIP Brittney Murphy,Andre Williams,,
2015,7,13,7,t.7,Deez Hos Ain't Royal,Roddy White,,
2015,8,13,8,t.8,Dirty Old Men,Johnny Manziel,,
2015,9,13,9,t.9,LEMVP & Associates,Patriots,,
2015,10,13,10,t.10,BergerBoy Brigade,Austin Seferian-Jenkins,,
2015,1,14,1,t.1,BergerBoy Brigade,Nick Foles,,
2015,2,14,2,t.2,The Danny O'Shea's,Roy Helu,,
2015,3,14,3,t.3,Dirty Old Men,Brian Hoyer,,
2015,4,14,4,t.4,Deez Hos Ain't Royal,Eric Ebron,,
2015,5,14,5,t.5,RIP Brittney Murphy,Eddie Royal,,
2015,6,14,6,t.6,Tyrodasaurus Rex,Jonathan Stewart,,
2015,7,14,7,t.7,LEMVP & Associates,Andrew Hawkins,,
2015,8,14,8,t.8,Big Don's Cuties,Larry Donnell,,
2015,9,14,9,t.9,ButtersBottomBitches,Antonio Gates,,
2015,10,14,10,t.10,LeGarratte Blunt,Andre Ellington,,
2015,1,15,1,t.1,LeGarratte Blunt,Dolphins,,
2015,2,15,2,t.2,ButtersBottomBitches,Tyler Eifert,,
