season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2020,1,1,1,t.1,Don’s Special Guys,Saquon Barkley,,
2020,2,1,2,t.2,Don’s Special Guys,Christian McCaffrey,,
2020,3,1,3,t.3,#1 Pokemon Master,Dalvin Cook,,
2020,4,1,4,t.4,LewLew Ferrari,Ezekiel Elliott,,
2020,5,1,5,t.5,Weird Flex but OK,Michael Thomas,,
2020,6,1,6,t.6,Don’s Special Guys,Davante Adams,,
2020,7,1,7,t.7,Wet Ass Posluzny,Clyde Edwards-Helaire,,
2020,8,1,8,t.8,The Dream Team,Miles Sanders,,
2020,9,1,9,t.9,Barry Sandals,Joe Mixon,,
2020,10,1,10,t.10,The Dream Team,Chris Carson,,
2020,11,1,11,t.11,LewLew Ferrari,Julio Jones,,
2020,12,1,12,t.12,#1 Pokemon Master,Tyreek Hill,,
2020,1,2,1,t.1,Terror Squad,Josh Jacobs,,
2020,2,2,2,t.2,Waiting For 2021,Travis Kelce,,
2020,3,2,3,t.3,The Dream Team,Derrick Henry,,
2020,4,2,4,t.4,Barry Sandals,DeAndre Hopkins,,
2020,5,2,5,t.5,Figgy,Chris Godwin Jr.,,
2020,6,2,6,t.6,Wet Ass Posluzny,Mike Evans,,
2020,7,2,7,t.7,Don’s Special Guys,Amari Cooper,,
2020,8,2,8,t.8,Weird Flex but OK,Todd Gurley,,
2020,9,2,9,t.9,LewLew Ferrari,Leonard Fournette,,
2020,10,2,10,t.10,#1 Pokemon Master,Kenny Golladay,,
2020,11,2,11,t.11,BergerBoy Brigade,Allen Robinson,,
2020,12,2,12,t.12,Guap Gang,David Johnson,,
2020,1,3,1,t.1,Guap Gang,Jonathan Taylor,,
2020,2,3,2,t.2,BergerBoy Brigade,David Montgomery,,
2020,3,3,3,t.3,#1 Pokemon Master,Austin Ekeler,,
2020,4,3,4,t.4,LewLew Ferrari,Melvin Gordon III,,
2020,5,3,5,t.5,Weird Flex but OK,Kyler Murray,,
2020,6,3,6,t.6,Don’s Special Guys,Zach Ertz,,
2020,7,3,7,t.7,Wet Ass Posluzny,Cooper Kupp,,
2020,8,3,8,t.8,Figgy,Robert Woods,,
2020,9,3,9,t.9,Barry Sandals,Odell Beckham Jr.,,
2020,10,3,10,t.10,Barry Sandals,Russell Wilson,,
2020,11,3,11,t.11,Waiting For 2021,Mark Ingram II,,
2020,12,3,12,t.12,#1 Pokemon Master,Dak Prescott,,
2020,1,4,1,t.1,Terror Squad,Cam Akers,,
2020,2,4,2,t.2,Waiting For 2021,Tyler Lockett,,
2020,3,4,3,t.3,The Dream Team,Carson Wentz,,
2020,4,4,4,t.4,Barry Sandals,Le'Veon Bell,,
2020,5,4,5,t.5,Figgy,Matt Ryan,,
2020,6,4,6,t.6,Wet Ass Posluzny,Keenan Allen,,
2020,7,4,7,t.7,Guap Gang,D'Andre Swift,,
2020,8,4,8,t.8,Weird Flex but OK,Kareem Hunt,,
2020,9,4,9,t.9,Waiting For 2021,Patrick Mahomes,,
2020,10,4,10,t.10,#1 Pokemon Master,Drew Brees,,
2020,11,4,11,t.11,BergerBoy Brigade,Devin Singletary,,
2020,12,4,12,t.12,Guap Gang,Kerryon Johnson,,
2020,1,5,1,t.1,Guap Gang,Darren Waller,,
2020,2,5,2,t.2,BergerBoy Brigade,Deshaun Watson,,
2020,3,5,3,t.3,#1 Pokemon Master,Courtland Sutton,,
2020,4,5,4,t.4,LewLew Ferrari,Tom Brady,,
2020,5,5,5,t.5,Weird Flex but OK,T.Y. Hilton,,
2020,6,5,6,t.6,Don’s Special Guys,Matthew Stafford,,
2020,7,5,7,t.7,Wet Ass Posluzny,Aaron Rodgers,,
2020,8,5,8,t.8,Figgy,J.K. Dobbins,,
2020,9,5,9,t.9,Barry Sandals,Jordan Howard,,
2020,10,5,10,t.10,The Dream Team,Stefon Diggs,,
2020,11,5,11,t.11,Waiting For 2021,Ben Roethlisberger,,
2020,12,5,12,t.12,Terror Squad,Julian Edelman,,
2020,1,6,1,t.1,The Dream Team,Baker Mayfield,,
2020,2,6,2,t.2,Don’s Special Guys,Will Fuller V,,
2020,3,6,3,t.3,The Dream Team,Calvin Ridley,,
2020,4,6,4,t.4,Barry Sandals,Marvin Jones Jr.,,
2020,5,6,5,t.5,Figgy,Jarvis Landry,,
2020,6,6,6,t.6,Wet Ass Posluzny,Tyler Higbee,,
2020,7,6,7,t.7,BergerBoy Brigade,Hollywood Brown,,
2020,8,6,8,t.8,Weird Flex but OK,Marlon Mack,,
2020,9,6,9,t.9,LewLew Ferrari,Phillip Lindsay,,
2020,10,6,10,t.10,#1 Pokemon Master,Kenyan Drake,,
2020,11,6,11,t.11,BergerBoy Brigade,Tarik Cohen,,
2020,12,6,12,t.12,Guap Gang,Kirk Cousins,,
2020,1,7,1,t.1,Guap Gang,Zack Moss,,
2020,2,7,2,t.2,BergerBoy Brigade,Tyler Boyd,,
2020,3,7,3,t.3,Terror Squad,Brandin Cooks,,
2020,4,7,4,t.4,LewLew Ferrari,Sterling Shepard,,
2020,5,7,5,t.5,Weird Flex but OK,Cam Newton,,
2020,6,7,6,t.6,Don’s Special Guys,Evan Engram,,
2020,7,7,7,t.7,Wet Ass Posluzny,A.J. Green,,
2020,8,7,8,t.8,Figgy,Diontae Johnson,,
2020,9,7,9,t.9,Terror Squad,James White,,
2020,10,7,10,t.10,The Dream Team,Joe Burrow,,
2020,11,7,11,t.11,Waiting For 2021,Matt Breida,,
2020,12,7,12,t.12,Terror Squad,Philip Rivers,,
2020,1,8,1,t.1,Terror Squad,Antonio Gibson,,
2020,2,8,2,t.2,Don’s Special Guys,Tevin Coleman,,
2020,3,8,3,t.3,The Dream Team,CeeDee Lamb,,
2020,4,8,4,t.4,Barry Sandals,Jamison Crowder,,
2020,5,8,5,t.5,Figgy,Aaron Jones Sr.,,
2020,6,8,6,t.6,Wet Ass Posluzny,Jerry Jeudy,,
2020,7,8,7,t.7,Don’s Special Guys,Jared Goff,,
2020,8,8,8,t.8,Weird Flex but OK,Latavius Murray,,
2020,9,8,9,t.9,LewLew Ferrari,Hayden Hurst,,
2020,10,8,10,t.10,#1 Pokemon Master,Hunter Henry,,
2020,11,8,11,t.11,BergerBoy Brigade,Justin Jefferson,,
2020,12,8,12,t.12,Guap Gang,DJ Moore,,
2020,1,9,1,t.1,Guap Gang,Ronald Jones,,
2020,2,9,2,t.2,BergerBoy Brigade,Darrell Henderson Jr.,,
2020,3,9,3,t.3,#1 Pokemon Master,Gardner Minshew II,,
2020,4,9,4,t.4,LewLew Ferrari,DK Metcalf,,
2020,5,9,5,t.5,Weird Flex but OK,Jared Cook,,
2020,6,9,6,t.6,Waiting For 2021,Darius Slayton,,
2020,7,9,7,t.7,Wet Ass Posluzny,Justin Jackson,,
2020,8,9,8,t.8,Figgy,Mecole Hardman Jr.,,
2020,9,9,9,t.9,Barry Sandals,Drew Lock,,
