season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2021,1,1,1,t.1,Zero Win Percentage,Christian McCaffrey,,
2021,2,1,2,t.2,Terror Squad,Dalvin Cook,,
2021,3,1,3,t.3,#1 Pokemon Master,Derrick Henry,,
2021,4,1,4,t.4,Guap Gang,Ezekiel Elliott,,
2021,5,1,5,t.5,Walking Off Like Antonio,Alvin Kamara,,
2021,6,1,6,t.6,Moaning Myrtle,Davante Adams,,
2021,7,1,7,t.7,Walking Off Like Antonio,Tyreek Hill,,
2021,8,1,8,t.8,Figgy,DeAndre Hopkins,,
2021,9,1,9,t.9,Walking Off Like Antonio,Travis Kelce,,
2021,10,1,10,t.10,Wet Ass Posluzny,Austin Ekeler,,
2021,11,1,11,t.11,Terror Squad,Patrick Mahomes,,
2021,12,1,12,t.12,Figgy,Najee Harris,,
2021,1,2,1,t.1,BergerBoy Brigade,Saquon Barkley,,
2021,2,2,2,t.2,Barry Sandals,Jonathan Taylor,,
2021,3,2,3,t.3,Terror Squad,Kyler Murray,,
2021,4,2,4,t.4,Walking Off Like Antonio,Joe Mixon,,
2021,5,2,5,t.5,Figgy,Dak Prescott,,
2021,6,2,6,t.6,Weird Flex but OK,Clyde Edwards-Helaire,,
2021,7,2,7,t.7,Moaning Myrtle,D'Andre Swift,,
2021,8,2,8,t.8,Walking Off Like Antonio,David Montgomery,,
2021,9,2,9,t.9,Terror Squad,Keenan Allen,,
2021,10,2,10,t.10,#1 Pokemon Master,Russell Wilson,,
2021,11,2,11,t.11,Moaning Myrtle,Miles Sanders,,
2021,12,2,12,t.12,Zero Win Percentage,Chris Carson,,
2021,1,3,1,t.1,Zero Win Percentage,Aaron Rodgers,,
2021,2,3,2,t.2,Guap Gang,Mike Evans,,
2021,3,3,3,t.3,#1 Pokemon Master,Chris Godwin Jr.,,
2021,4,3,4,t.4,Terror Squad,Darren Waller,,
2021,5,3,5,t.5,Walking Off Like Antonio,Tom Brady,,
2021,6,3,6,t.6,Moaning Myrtle,Mike Davis,,
2021,7,3,7,t.7,Walking Off Like Antonio,Allen Robinson,,
2021,8,3,8,t.8,Figgy,Josh Jacobs,,
2021,9,3,9,t.9,The Dream Team,Stefon Diggs,,
2021,10,3,10,t.10,Wet Ass Posluzny,Amari Cooper,,
2021,11,3,11,t.11,Barry Sandals,Robert Woods,,
2021,12,3,12,t.12,Guap Gang,Myles Gaskin,,
2021,1,4,1,t.1,#1 Pokemon Master,Kareem Hunt,,
2021,2,4,2,t.2,Guap Gang,Joe Burrow,,
2021,3,4,3,t.3,Wet Ass Posluzny,Cooper Kupp,,
2021,4,4,4,t.4,Moaning Myrtle,Matthew Stafford,,
2021,5,4,5,t.5,BergerBoy Brigade,Tyler Lockett,,
2021,6,4,6,t.6,Weird Flex but OK,Jalen Hurts,,
2021,7,4,7,t.7,Guap Gang,Adam Thielen,,
2021,8,4,8,t.8,The Dream Team,Calvin Ridley,,
2021,9,4,9,t.9,Wet Ass Posluzny,Diontae Johnson,,
2021,10,4,10,t.10,#1 Pokemon Master,Matt Ryan,,
2021,11,4,11,t.11,Terror Squad,DJ Moore,,
2021,12,4,12,t.12,Zero Win Percentage,Kyle Pitts Sr.,,
2021,1,5,1,t.1,Zero Win Percentage,Kenny Golladay,,
2021,2,5,2,t.2,Guap Gang,Baker Mayfield,,
2021,3,5,3,t.3,#1 Pokemon Master,Jerry Jeudy,,
2021,4,5,4,t.4,Barry Sandals,Damien Harris,,
2021,5,5,5,t.5,Walking Off Like Antonio,Javonte Williams,,
2021,6,5,6,t.6,Moaning Myrtle,Robert Tonyan,,
2021,7,5,7,t.7,Weird Flex but OK,Odell Beckham Jr.,,
2021,8,5,8,t.8,Figgy,Julio Jones,,
2021,9,5,9,t.9,Walking Off Like Antonio,Trey Sermon,,
2021,10,5,10,t.10,Wet Ass Posluzny,Ben Roethlisberger,,
2021,11,5,11,t.11,Terror Squad,Michael Thomas,,
2021,12,5,12,t.12,BergerBoy Brigade,AJ Dillon,,
2021,1,6,1,t.1,BergerBoy Brigade,Ja'Marr Chase,,
2021,2,6,2,t.2,Barry Sandals,Kirk Cousins,,
2021,3,6,3,t.3,Wet Ass Posluzny,Jameis Winston,,
2021,4,6,4,t.4,BergerBoy Brigade,Aaron Jones Sr.,,
2021,5,6,5,t.5,Figgy,Courtland Sutton,,
2021,6,6,6,t.6,Weird Flex but OK,Tua Tagovailoa,,
2021,7,6,7,t.7,Moaning Myrtle,Justin Jefferson,,
2021,8,6,8,t.8,The Dream Team,CeeDee Lamb,,
2021,9,6,9,t.9,Guap Gang,Michael Carter,,
2021,10,6,10,t.10,#1 Pokemon Master,Noah Fant,,
2021,11,6,11,t.11,Terror Squad,Antonio Gibson,,
2021,12,6,12,t.12,Zero Win Percentage,Trevor Lawrence,,
2021,1,7,1,t.1,Zero Win Percentage,DK Metcalf,,
2021,2,7,2,t.2,Guap Gang,Chase Edmonds,,
2021,3,7,3,t.3,#1 Pokemon Master,Darrell Henderson Jr.,,
2021,4,7,4,t.4,Barry Sandals,Deebo Samuel,,
2021,5,7,5,t.5,Walking Off Like Antonio,Justin Fields,,
2021,6,7,6,t.6,Moaning Myrtle,Dallas Goedert,,
2021,7,7,7,t.7,Weird Flex but OK,Melvin Gordon III,,
2021,8,7,8,t.8,Figgy,Laviska Shenault Jr.,,
2021,9,7,9,t.9,The Dream Team,DeVonta Smith,,
2021,10,7,10,t.10,Wet Ass Posluzny,Tyler Boyd,,
2021,11,7,11,t.11,Barry Sandals,Trey Lance,,
2021,12,7,12,t.12,BergerBoy Brigade,Derek Carr,,
2021,1,8,1,t.1,Figgy,Ronald Jones,,
2021,2,8,2,t.2,Barry Sandals,Tyler Higbee,,
2021,3,8,3,t.3,Wet Ass Posluzny,Zack Moss,,
2021,4,8,4,t.4,The Dream Team,Leonard Fournette,,
2021,5,8,5,t.5,Figgy,George Kittle,,
2021,6,8,6,t.6,Weird Flex but OK,JuJu Smith-Schuster,,
2021,7,8,7,t.7,The Dream Team,Daniel Jones,,
2021,8,8,8,t.8,Walking Off Like Antonio,Nick Chubb,,
2021,9,8,9,t.9,Guap Gang,Tony Pollard,,
2021,10,8,10,t.10,The Dream Team,Carson Wentz,,
2021,11,8,11,t.11,Terror Squad,Brandin Cooks,,
2021,12,8,12,t.12,Zero Win Percentage,Jarvis Landry,,
