season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2019,2,8,2,t.2,Trevor’s Semifinals,Trey Burton,,
2019,3,8,3,t.3,Figgy,Andy Dalton,,
2019,4,8,4,t.4,Guap Gang,Corey Davis,,
2019,5,8,5,t.5,Weird Flex but OK,Royce Freeman,,
2019,6,8,6,t.6,Sam Darnolds a Slut,Baker Mayfield,,
2019,7,8,7,t.7,Carli Lloyd Banks,Delanie Walker,,
2019,8,8,8,t.8,Terror Squad,Darrell Henderson Jr.,,
2019,9,8,9,t.9,The Dream Team,Calvin Ridley,,
2019,10,8,10,t.10,No Chubby Strippers,Courtland Sutton,,
2019,11,8,11,t.11,Troll Toll,Mohamed Sanu,,
2019,12,8,12,t.12,Barry Sandals,Sterling Shepard,,
2019,1,9,1,t.1,Barry Sandals,Kalen Ballage,,
2019,2,9,2,t.2,Troll Toll,Dante Pettis,,
2019,3,9,3,t.3,BergerBoy Brigade,Christian Kirk,,
2019,4,9,4,t.4,Figgy,Larry Fitzgerald,,
2019,5,9,5,t.5,Terror Squad,Geronimo Allison,,
2019,6,9,6,t.6,Carli Lloyd Banks,LeSean McCoy,,
2019,7,9,7,t.7,Sam Darnolds a Slut,Bears,,
2019,8,9,8,t.8,Weird Flex but OK,Donte Moncrief,,
2019,9,9,9,t.9,Guap Gang,Emmanuel Sanders,,
2019,10,9,10,t.10,Figgy,Marquez Valdes-Scantling,,
2019,11,9,11,t.11,Trevor’s Semifinals,Golden Tate,,
2019,12,9,12,t.12,No Chubby Strippers,Kenyan Drake,,
2019,1,10,1,t.1,No Chubby Strippers,Anthony Miller,,
2019,2,10,2,t.2,Trevor’s Semifinals,Jaguars,,
2019,3,10,3,t.3,Figgy,Aaron Jones Sr.,,
2019,4,10,4,t.4,Guap Gang,DJ Moore,,
2019,5,10,5,t.5,Weird Flex but OK,Keke Coutee,,
2019,6,10,6,t.6,Sam Darnolds a Slut,Jordan Howard,,
2019,7,10,7,t.7,Carli Lloyd Banks,Nick Foles,,
2019,8,10,8,t.8,Terror Squad,Bills,,
2019,9,10,9,t.9,Weird Flex but OK,Dion Lewis,,
2019,10,10,10,t.10,BergerBoy Brigade,Marcus Mariota,,
2019,11,10,11,t.11,Troll Toll,Tyrell Williams,,
2019,12,10,12,t.12,Barry Sandals,Kenny Stills,,
2019,1,11,1,t.1,Barry Sandals,Matt Breida,,
2019,2,11,2,t.2,Troll Toll,DK Metcalf,,
2019,3,11,3,t.3,No Chubby Strippers,Ronald Jones,,
2019,4,11,4,t.4,Weird Flex but OK,Devin Funchess,,
2019,5,11,5,t.5,Terror Squad,John Brown,,
2019,6,11,6,t.6,Carli Lloyd Banks,O.J. Howard,,
2019,7,11,7,t.7,Sam Darnolds a Slut,T.J. Hockenson,,
2019,8,11,8,t.8,Weird Flex but OK,Eli Manning,,
2019,9,11,9,t.9,Guap Gang,Kareem Hunt,,
2019,10,11,10,t.10,The Dream Team,Tony Pollard,,
2019,11,11,11,t.11,Trevor’s Semifinals,Kenneth Barber,,
2019,12,11,12,t.12,BergerBoy Brigade,Mitchell Trubisky,,
2019,1,12,1,t.1,No Chubby Strippers,Devin Singletary,,
2019,2,12,2,t.2,Trevor’s Semifinals,Davante Adams,,
2019,3,12,3,t.3,Figgy,George Kittle,,
2019,4,12,4,t.4,Guap Gang,Mike Williams,,
2019,5,12,5,t.5,Weird Flex but OK,Nyheim Miller-Hines,,
2019,6,12,6,t.6,Sam Darnolds a Slut,Jamison Crowder,,
2019,7,12,7,t.7,Carli Lloyd Banks,Dallas Goedert,,
2019,8,12,8,t.8,Terror Squad,Joe Flacco,,
2019,9,12,9,t.9,The Dream Team,Duke Johnson,,
2019,10,12,10,t.10,No Chubby Strippers,Nick Chubb,,
2019,11,12,11,t.11,Troll Toll,Kyle Rudolph,,
2019,12,12,12,t.12,Barry Sandals,Jack Doyle,,
2019,1,13,1,t.1,Barry Sandals,Justice Hill,,
2019,2,13,2,t.2,Troll Toll,Rams,,
2019,3,13,3,t.3,BergerBoy Brigade,N'Keal Harry,,
2019,4,13,4,t.4,The Dream Team,Parris Campbell,,
2019,5,13,5,t.5,Terror Squad,Greg Zuerlein,,
2019,6,13,6,t.6,Carli Lloyd Banks,Deebo Samuel,,
2019,7,13,7,t.7,Sam Darnolds a Slut,James Washington,,
2019,8,13,8,t.8,Weird Flex but OK,Michael Gallup,,
2019,9,13,9,t.9,Guap Gang,Jaylen Samuels,,
2019,10,13,10,t.10,Figgy,Josh Allen,,
2019,11,13,11,t.11,Trevor’s Semifinals,Adam Thielen,,
2019,12,13,12,t.12,No Chubby Strippers,Tyreek Hill,,
2019,1,14,1,t.1,BergerBoy Brigade,Albert Wilson,,
2019,2,14,2,t.2,Trevor’s Semifinals,Justin Tucker,,
2019,3,14,3,t.3,Figgy,Ito Smith,,
2019,4,14,4,t.4,Guap Gang,Alexander Mattison,,
2019,5,14,5,t.5,Weird Flex but OK,Harrison Butker,,
2019,6,14,6,t.6,Sam Darnolds a Slut,Dwayne Haskins,,
2019,7,14,7,t.7,Carli Lloyd Banks,Vikings,,
2019,8,14,8,t.8,Weird Flex but OK,Ravens,,
2019,9,14,9,t.9,The Dream Team,Eagles,,
2019,10,14,10,t.10,BergerBoy Brigade,Giovani Bernard,,
2019,11,14,11,t.11,Troll Toll,Carlos Hyde,,
2019,12,14,12,t.12,Barry Sandals,Jordan Reed,,
2019,1,15,1,t.1,Barry Sandals,Tre'Quan Smith,,
2019,2,15,2,t.2,Troll Toll,Chase Edmonds,,
2019,3,15,3,t.3,BergerBoy Brigade,Stephen Gostkowski,,
2019,4,15,4,t.4,The Dream Team,Tyler Boyd,,
2019,5,15,5,t.5,Terror Squad,Derrius Guice,,
2019,6,15,6,t.6,Carli Lloyd Banks,Jimmy Garoppolo,,
2019,7,15,7,t.7,Sam Darnolds a Slut,Alvin Kamara,,
2019,8,15,8,t.8,Weird Flex but OK,Damien Harris,,
2019,9,15,9,t.9,Guap Gang,Jimmy Graham,,
2019,10,15,10,t.10,Figgy,Cowboys,,
2019,11,15,11,t.11,Trevor’s Semifinals,JuJu Smith-Schuster,,
2019,12,15,12,t.12,No Chubby Strippers,Wil Lutz,,
2019,1,16,1,t.1,No Chubby Strippers,DaeSean Hamilton,,
2019,2,16,2,t.2,Trevor’s Semifinals,Ty Montgomery II,,
2019,3,16,3,t.3,Figgy,Hollywood Brown,,
2019,4,16,4,t.4,Guap Gang,Chargers,,
2019,5,16,5,t.5,Weird Flex but OK,Adrian Peterson,,
2019,6,16,6,t.6,Sam Darnolds a Slut,Justin Jackson,,
2019,7,16,7,t.7,Carli Lloyd Banks,DeSean Jackson,,
2019,8,16,8,t.8,Weird Flex but OK,Jalen Hurd,,
2019,9,16,9,t.9,Figgy,Robbie Gould,,
2019,10,16,10,t.10,BergerBoy Brigade,Texans,,
2019,11,16,11,t.11,Troll Toll,Josh Rosen,,
2019,12,16,12,t.12,Barry Sandals,Browns,,
2019,1,17,1,t.1,Barry Sandals,Ka'imi Fairbairn,,
2019,2,17,2,t.2,Troll Toll,Hunter Renfrow,,
2019,3,17,3,t.3,BergerBoy Brigade,David Moore,,
2019,4,17,4,t.4,Guap Gang,Mason Crosby,,
2019,5,17,5,t.5,Terror Squad,Lamar Jackson,,
2019,6,17,6,t.6,Carli Lloyd Banks,Matt Bryant,,
2019,7,17,7,t.7,Sam Darnolds a Slut,Michael Badgley,,
2019,8,17,8,t.8,Weird Flex but OK,Eric Ebron,,
2019,9,17,9,t.9,Guap Gang,James Conner,,
2019,10,17,10,t.10,Figgy,Noah Fant,,
2019,11,17,11,t.11,Trevor’s Semifinals,Blake Bortles,,
2019,12,17,12,t.12,No Chubby Strippers,Darwin Thompson,,
