season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2024,1,1,1,t.1,Herman and Trampa,Breece Hall,,
2024,2,1,2,t.2,Old School 69,Christian McCaffrey,,
2024,3,1,3,t.3,Carnage,CeeDee Lamb,,
2024,4,1,4,t.4,Steel Curtain,Tyreek Hill,,
2024,5,1,5,t.5,vicspics,Bijan Robinson,,
2024,6,1,6,t.6,Morgasm,Garrett Wilson,,
2024,7,1,7,t.7,Shawn's Team,Justin Jefferson,,
2024,8,1,8,t.8,Dawgpound,Amon-Ra St. Brown,,
2024,9,1,9,t.9,Gbobo fett,Jonathan Taylor,,
2024,10,1,10,t.10,Doug's Choice Team,Ja'Marr Chase,,
2024,11,1,11,t.11,Jeff Briggs's Team,Derrick Henry,,
2024,12,1,12,t.12,Danthin on tha Thielen,Saquon Barkley,,
2024,13,1,1,t.1,2024’s Most Disappointing Team,A.J. Brown,,
2024,14,1,2,t.2,K Steins playas,Jahmyr Gibbs,,
2024,1,2,1,t.1,K Steins playas,Puka Nacua,,
2024,2,2,2,t.2,2024’s Most Disappointing Team,Isiah Pacheco,,
2024,3,2,3,t.3,Danthin on tha Thielen,Chris Olave,,
2024,4,2,4,t.4,Jeff Briggs's Team,Marvin Harrison Jr.,,
2024,5,2,5,t.5,Doug's Choice Team,Travis Etienne Jr.,,
2024,6,2,6,t.6,Gbobo fett,Drake London,,
2024,7,2,7,t.7,Dawgpound,Davante Adams,,
2024,8,2,8,t.8,Shawn's Team,De'Von Achane,,
2024,9,2,9,t.9,Morgasm,Josh Jacobs,,
2024,10,2,10,t.10,vicspics,Nico Collins,,
2024,11,2,11,t.11,Steel Curtain,Travis Kelce,,
2024,12,2,12,t.12,Carnage,Kyren Williams,,
2024,13,2,1,t.1,Old School 69,Mike Evans,,
2024,14,2,2,t.2,Herman and Trampa,Cooper Kupp,,
2024,1,3,1,t.1,Herman and Trampa,Brandon Aiyuk,,
2024,2,3,2,t.2,Old School 69,Deebo Samuel,,
2024,3,3,3,t.3,Carnage,Sam LaPorta,,
2024,4,3,4,t.4,Steel Curtain,Patrick Mahomes,,
2024,5,3,5,t.5,vicspics,Jaylen Waddle,,
2024,6,3,6,t.6,Morgasm,Joe Mixon,,
2024,7,3,7,t.7,Shawn's Team,Malik Nabers,,
2024,8,3,8,t.8,Dawgpound,Josh Allen,,
2024,9,3,9,t.9,Gbobo fett,Lamar Jackson,,
2024,10,3,10,t.10,Doug's Choice Team,Kenneth Walker III,,
2024,11,3,11,t.11,Jeff Briggs's Team,Jalen Hurts,,
2024,12,3,12,t.12,Danthin on tha Thielen,DK Metcalf,,
2024,13,3,1,t.1,2024’s Most Disappointing Team,DJ Moore,,
2024,14,3,2,t.2,K Steins playas,DeVonta Smith,,
2024,1,4,1,t.1,K Steins playas,James Cook III,,
2024,2,4,2,t.2,2024’s Most Disappointing Team,Rashee Rice,,
2024,3,4,3,t.3,Danthin on tha Thielen,Michael Pittman Jr.,,
2024,4,4,4,t.4,Jeff Briggs's Team,Stefon Diggs,,
2024,5,4,5,t.5,Doug's Choice Team,George Pickens,,
2024,6,4,6,t.6,Gbobo fett,Amari Cooper,,
2024,7,4,7,t.7,Dawgpound,Alvin Kamara,,
2024,8,4,8,t.8,Shawn's Team,Trey McBride,,
2024,9,4,9,t.9,Morgasm,Mark Andrews,,
2024,10,4,10,t.10,vicspics,James Conner,,
2024,11,4,11,t.11,Steel Curtain,David Montgomery,,
2024,12,4,12,t.12,Carnage,Dak Prescott,,
2024,13,4,1,t.1,Old School 69,Kyler Murray,,
2024,14,4,2,t.2,Herman and Trampa,Zay Flowers,,
2024,1,5,1,t.1,Herman and Trampa,Brock Purdy,,
2024,2,5,2,t.2,Old School 69,Terry McLaurin,,
2024,3,5,3,t.3,Carnage,Aaron Jones Sr.,,
2024,4,5,4,t.4,Steel Curtain,Najee Harris,,
2024,5,5,5,t.5,vicspics,George Kittle,,
2024,6,5,6,t.6,Morgasm,Christian Kirk,,
2024,7,5,7,t.7,Shawn's Team,Raheem Mostert,,
2024,8,5,8,t.8,Dawgpound,Dalton Kincaid,,
2024,9,5,9,t.9,Gbobo fett,Kyle Pitts Sr.,,
2024,10,5,10,t.10,Doug's Choice Team,Joe Burrow,,
2024,11,5,11,t.11,Jeff Briggs's Team,Tank Dell,,
2024,12,5,12,t.12,Danthin on tha Thielen,Evan Engram,,
