season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2023,1,1,1,t.1,$ETH MAXI,Justin Jefferson,,
2023,2,1,2,t.2,Christian Mcchampion,Christian McCaffrey,,
2023,3,1,3,t.3,CallYourMotherPaul,Ja'Marr Chase,,
2023,4,1,4,t.4,IN— Gabe — We trust,Travis Kelce,,
2023,5,1,5,t.5,The English Nuisance,Austin Ekeler,,
2023,6,1,6,t.6,DesPACKcito,Tyreek Hill,,
2023,7,1,7,t.7,Nightlight/Father of the Champ,Nick Chubb,,
2023,8,1,8,t.8,Big Truss Woo Woo,Stefon Diggs,,
2023,9,1,9,t.9,Tara’s team,Bijan Robinson,,
2023,10,1,10,t.10,Paul's Team,CeeDee Lamb,,
2023,11,1,11,t.11,Bursted Bladders,Tony Pollard,,
2023,12,1,12,t.12,Reigning Champ,Cooper Kupp,,
2023,1,2,1,t.1,Reigning Champ,Saquon Barkley,,
2023,2,2,2,t.2,Bursted Bladders,Tee Higgins,,
2023,3,2,3,t.3,Paul's Team,A.J. Brown,,
2023,4,2,4,t.4,Tara’s team,Amon-Ra St. Brown,,
2023,5,2,5,t.5,Big Truss Woo Woo,Davante Adams,,
2023,6,2,6,t.6,Nightlight/Father of the Champ,Jalen Hurts,,
2023,7,2,7,t.7,DesPACKcito,Derrick Henry,,
2023,8,2,8,t.8,The English Nuisance,Patrick Mahomes,,
2023,9,2,9,t.9,IN— Gabe — We trust,Garrett Wilson,,
2023,10,2,10,t.10,CallYourMotherPaul,Josh Jacobs,,
2023,11,2,11,t.11,Christian Mcchampion,Josh Allen,,
2023,12,2,12,t.12,$ETH MAXI,Jaylen Waddle,,
2023,1,3,1,t.1,$ETH MAXI,Chris Olave,,
2023,2,3,2,t.2,Christian Mcchampion,DeVonta Smith,,
2023,3,3,3,t.3,CallYourMotherPaul,Travis Etienne Jr.,,
2023,4,3,4,t.4,IN— Gabe — We trust,Lamar Jackson,,
2023,5,3,5,t.5,The English Nuisance,DK Metcalf,,
2023,6,3,6,t.6,DesPACKcito,Joe Mixon,,
2023,7,3,7,t.7,Nightlight/Father of the Champ,Rhamondre Stevenson,,
2023,8,3,8,t.8,Big Truss Woo Woo,J.K. Dobbins,,
2023,9,3,9,t.9,Tara’s team,Mark Andrews,,
2023,10,3,10,t.10,Paul's Team,Najee Harris,,
2023,11,3,11,t.11,Bursted Bladders,Aaron Rodgers,,
2023,12,3,12,t.12,Reigning Champ,Aaron Jones Sr.,,
2023,1,4,1,t.1,Reigning Champ,T.J. Hockenson,,
2023,2,4,2,t.2,Bursted Bladders,Joe Burrow,,
2023,3,4,3,t.3,Paul's Team,Jahmyr Gibbs,,
2023,4,4,4,t.4,Tara’s team,Calvin Ridley,,
2023,5,4,5,t.5,Big Truss Woo Woo,George Kittle,,
2023,6,4,6,t.6,Nightlight/Father of the Champ,Deebo Samuel,,
2023,7,4,7,t.7,DesPACKcito,Dameon Pierce,,
