season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2022,1,1,1,t.1,Figgy,Jonathan Taylor,,
2022,2,1,2,t.2,The Dream Team,Josh Allen,,
2022,3,1,3,t.3,Weird Flex but OK,Christian McCaffrey,,
2022,4,1,4,t.4,Tom Hanks,Derrick Henry,,
2022,5,1,5,t.5,Hail Koo,Dalvin Cook,,
2022,6,1,6,t.6,Wet Ass Posluzny,Patrick Mahomes,,
2022,7,1,7,t.7,Hail Koo,Najee Harris,,
2022,8,1,8,t.8,Figgy,Austin Ekeler,,
2022,9,1,9,t.9,The Dream Team,Davante Adams,,
2022,10,1,10,t.10,Tom Hanks,Stefon Diggs,,
2022,11,1,11,t.11,Wet Ass Posluzny,Lamar Jackson,,
2022,12,1,12,t.12,Tom Hanks,Joe Mixon,,
2022,1,2,1,t.1,Community Day Lamb,Travis Kelce,,
2022,2,2,2,t.2,Wet Ass Posluzny,D'Andre Swift,,
2022,3,2,3,t.3,The Washington Football Team,Javonte Williams,,
2022,4,2,4,t.4,Hail Koo,Mike Evans,,
2022,5,2,5,t.5,Figgy,Aaron Jones Sr.,,
2022,6,2,6,t.6,The Washington Football Team,Kyler Murray,,
2022,7,2,7,t.7,Wet Ass Posluzny,Tyreek Hill,,
2022,8,2,8,t.8,Hail Koo,Keenan Allen,,
2022,9,2,9,t.9,Tom Hanks,Diontae Johnson,,
2022,10,2,10,t.10,Weird Flex but OK,Jalen Hurts,,
2022,11,2,11,t.11,The Dream Team,Saquon Barkley,,
2022,12,2,12,t.12,Cadillac Crippling Crusaders,Cooper Kupp,,
2022,1,3,1,t.1,Figgy,Joe Burrow,,
2022,2,3,2,t.2,The Dream Team,Russell Wilson,,
2022,3,3,3,t.3,Weird Flex but OK,Nick Chubb,,
2022,4,3,4,t.4,Tom Hanks,Kyle Pitts Sr.,,
2022,5,3,5,t.5,Hail Koo,DJ Moore,,
2022,6,3,6,t.6,Wet Ass Posluzny,Alvin Kamara,,
2022,7,3,7,t.7,The Washington Football Team,Tom Brady,,
2022,8,3,8,t.8,The pigeon outside Lems window,Dak Prescott,,
2022,9,3,9,t.9,Barry Sandals,Ezekiel Elliott,,
2022,10,3,10,t.10,BergerBoy Brigade,Breece Hall,,
2022,11,3,11,t.11,Figgy,Trey Lance,,
2022,12,3,12,t.12,Weird Flex but OK,Jaylen Waddle,,
2022,1,4,1,t.1,Tom Hanks,Matthew Stafford,,
2022,2,4,2,t.2,Cadillac Crippling Crusaders,Antonio Gibson,,
2022,3,4,3,t.3,BergerBoy Brigade,Ja'Marr Chase,,
2022,4,4,4,t.4,Barry Sandals,David Montgomery,,
2022,5,4,5,t.5,The pigeon outside Lems window,Aaron Rodgers,,
2022,6,4,6,t.6,The Washington Football Team,Josh Jacobs,,
2022,7,4,7,t.7,Wet Ass Posluzny,Terry McLaurin,,
2022,8,4,8,t.8,Hail Koo,Derek Carr,,
2022,9,4,9,t.9,Community Day Lamb,CeeDee Lamb,,
2022,10,4,10,t.10,Community Day Lamb,Justin Jefferson,,
2022,11,4,11,t.11,The Dream Team,DeVonta Smith,,
2022,12,4,12,t.12,The pigeon outside Lems window,Miles Sanders,,
2022,1,5,1,t.1,Figgy,James Conner,,
2022,2,5,2,t.2,Barry Sandals,Kirk Cousins,,
2022,3,5,3,t.3,Weird Flex but OK,Clyde Edwards-Helaire,,
2022,4,5,4,t.4,Community Day Lamb,Courtland Sutton,,
2022,5,5,5,t.5,Hail Koo,George Kittle,,
2022,6,5,6,t.6,Wet Ass Posluzny,Darren Waller,,
2022,7,5,7,t.7,The Washington Football Team,Chris Godwin Jr.,,
2022,8,5,8,t.8,Figgy,Jerry Jeudy,,
2022,9,5,9,t.9,Barry Sandals,Deebo Samuel,,
2022,10,5,10,t.10,BergerBoy Brigade,Justin Fields,,
2022,11,5,11,t.11,Wet Ass Posluzny,Allen Robinson,,
2022,12,5,12,t.12,Tom Hanks,JuJu Smith-Schuster,,
2022,1,6,1,t.1,Community Day Lamb,AJ Dillon,,
2022,2,6,2,t.2,Cadillac Crippling Crusaders,Michael Thomas,,
2022,3,6,3,t.3,BergerBoy Brigade,DK Metcalf,,
2022,4,6,4,t.4,Barry Sandals,Brandin Cooks,,
2022,5,6,5,t.5,The pigeon outside Lems window,Dalton Schultz,,
2022,6,6,6,t.6,The Washington Football Team,Adam Thielen,,
2022,7,6,7,t.7,Wet Ass Posluzny,Trevor Lawrence,,
2022,8,6,8,t.8,Hail Koo,Tony Pollard,,
2022,9,6,9,t.9,Tom Hanks,Tua Tagovailoa,,
2022,10,6,10,t.10,Weird Flex but OK,Jameis Winston,,
2022,11,6,11,t.11,The Dream Team,Leonard Fournette,,
2022,12,6,12,t.12,Figgy,Amari Cooper,,
2022,1,7,1,t.1,Figgy,T.J. Hockenson,,
2022,2,7,2,t.2,The Dream Team,Dallas Goedert,,
2022,3,7,3,t.3,Community Day Lamb,Mac Jones,,
2022,4,7,4,t.4,BergerBoy Brigade,Rashod Bateman,,
2022,5,7,5,t.5,Barry Sandals,Ryan Tannehill,,
2022,6,7,6,t.6,The pigeon outside Lems window,Kareem Hunt,,
2022,7,7,7,t.7,The Washington Football Team,Hollywood Brown,,
2022,8,7,8,t.8,The pigeon outside Lems window,Mike Williams,,
2022,9,7,9,t.9,Barry Sandals,Michael Pittman Jr.,,
2022,10,7,10,t.10,BergerBoy Brigade,Kenneth Walker III,,
2022,11,7,11,t.11,Figgy,Allen Lazard,,
2022,12,7,12,t.12,Weird Flex but OK,Dawson Knox,,
2022,1,8,1,t.1,Tom Hanks,Zach Ertz,,
2022,2,8,2,t.2,Cadillac Crippling Crusaders,Cam Akers,,
2022,3,8,3,t.3,Barry Sandals,Gabe Davis,,
2022,4,8,4,t.4,Barry Sandals,Matt Ryan,,
2022,5,8,5,t.5,The pigeon outside Lems window,Damien Harris,,
2022,6,8,6,t.6,The Washington Football Team,Melvin Gordon III,,
2022,7,8,7,t.7,Cadillac Crippling Crusaders,DeAndre Hopkins,,
2022,8,8,8,t.8,BergerBoy Brigade,J.K. Dobbins,,
2022,9,8,9,t.9,Tom Hanks,Chase Edmonds,,
2022,10,8,10,t.10,Weird Flex but OK,Hunter Renfrow,,
2022,11,8,11,t.11,The Dream Team,Robert Woods,,
2022,12,8,12,t.12,The pigeon outside Lems window,Alexander Mattison,,
2022,1,9,1,t.1,The pigeon outside Lems window,Skyy Moore,,
2022,2,9,2,t.2,The Dream Team,Michael Gallup,,
2022,3,9,3,t.3,Weird Flex but OK,Darrell Henderson Jr.,,
2022,4,9,4,t.4,Community Day Lamb,James Cook III,,
2022,5,9,5,t.5,Hail Koo,Baker Mayfield,,
2022,6,9,6,t.6,Cadillac Crippling Crusaders,Daniel Jones,,
2022,7,9,7,t.7,The Washington Football Team,Darnell Mooney,,
2022,8,9,8,t.8,Wet Ass Posluzny,Elijah Moore,,
2022,9,9,9,t.9,Barry Sandals,Cole Kmet,,
2022,10,9,10,t.10,BergerBoy Brigade,Drake London,,
2022,11,9,11,t.11,Figgy,Brandon Aiyuk,,
2022,12,9,12,t.12,Weird Flex but OK,Chris Olave,,
2022,1,10,1,t.1,Community Day Lamb,Dameon Pierce,,
2022,2,10,2,t.2,Cadillac Crippling Crusaders,Carson Wentz,,
2022,3,10,3,t.3,BergerBoy Brigade,Treylon Burks,,
2022,4,10,4,t.4,BergerBoy Brigade,Isaiah Spiller,,
2022,5,10,5,t.5,The pigeon outside Lems window,Zach Wilson,,
2022,6,10,6,t.6,The Washington Football Team,Bills,,
2022,7,10,7,t.7,Wet Ass Posluzny,Rhamondre Stevenson,,
2022,8,10,8,t.8,Hail Koo,Tee Higgins,,
2022,9,10,9,t.9,Community Day Lamb,Justin Herbert,,
2022,10,10,10,t.10,Weird Flex but OK,Garrett Wilson,,
2022,11,10,11,t.11,The Dream Team,Devin Singletary,,
2022,12,10,12,t.12,Figgy,George Pickens,,
2022,1,11,1,t.1,Figgy,Mark Andrews,,
2022,2,11,2,t.2,The Dream Team,Tyler Lockett,,
2022,3,11,3,t.3,Community Day Lamb,Kenneth Gainwell,,
2022,4,11,4,t.4,Community Day Lamb,Jameson Williams,,
2022,5,11,5,t.5,Hail Koo,James Robinson,,
2022,6,11,6,t.6,Cadillac Crippling Crusaders,Tyler Allgeier,,
2022,7,11,7,t.7,The Washington Football Team,Mike Gesicki,,
2022,8,11,8,t.8,Wet Ass Posluzny,Jahan Dotson,,
2022,9,11,9,t.9,Barry Sandals,Rachaad White,,
2022,10,11,10,t.10,BergerBoy Brigade,A.J. Brown,,
2022,11,11,11,t.11,Cadillac Crippling Crusaders,Gus Edwards,,
2022,12,11,12,t.12,Tom Hanks,Tyler Boyd,,
2022,1,12,1,t.1,Tom Hanks,DeVante Parker,,
2022,2,12,2,t.2,Cadillac Crippling Crusaders,Marquez Valdes-Scantling,,
2022,3,12,3,t.3,BergerBoy Brigade,Christian Watson,,
2022,4,12,4,t.4,Barry Sandals,Michael Carter,,
2022,5,12,5,t.5,The pigeon outside Lems window,Tyrion Davis-Price,,
2022,6,12,6,t.6,The Washington Football Team,Taysom Hill,,
2022,7,12,7,t.7,Wet Ass Posluzny,Travis Etienne Jr.,,
2022,8,12,8,t.8,Hail Koo,Tyler Higbee,,
2022,9,12,9,t.9,Tom Hanks,Jared Goff,,
2022,10,12,10,t.10,Weird Flex but OK,Rondale Moore,,
2022,11,12,11,t.11,The Dream Team,Alec Pierce,,
2022,12,12,12,t.12,Cadillac Crippling Crusaders,Albert Okwuegbunam Jr.,,
2022,1,13,1,t.1,Cadillac Crippling Crusaders,Desmond Ridder,,
2022,2,13,2,t.2,The Dream Team,Julio Jones,,
2022,3,13,3,t.3,Community Day Lamb,Jakobi Meyers,,
2022,4,13,4,t.4,Tom Hanks,Marlon Mack,,
2022,5,13,5,t.5,Hail Koo,Chase Claypool,,
2022,6,13,6,t.6,The pigeon outside Lems window,Wan'Dale Robinson,,
2022,7,13,7,t.7,The Washington Football Team,Justin Tucker,,
2022,8,13,8,t.8,The pigeon outside Lems window,Isiah Pacheco,,
2022,9,13,9,t.9,Barry Sandals,Khalil Herbert,,
2022,10,13,10,t.10,BergerBoy Brigade,Davis Mills,,
2022,11,13,11,t.11,Cadillac Crippling Crusaders,J.D. McKissic,,
2022,12,13,12,t.12,Weird Flex but OK,Brian Robinson,,
2022,1,14,1,t.1,Community Day Lamb,Jalen Tolbert,,
2022,2,14,2,t.2,Cadillac Crippling Crusaders,Calvin Ridley,,
2022,3,14,3,t.3,BergerBoy Brigade,Pat Freiermuth,,
2022,4,14,4,t.4,Barry Sandals,Romeo Doubs,,
2022,5,14,5,t.5,The pigeon outside Lems window,Hunter Henry,,
2022,6,14,6,t.6,The Washington Football Team,Jimmy Garoppolo,,
2022,7,14,7,t.7,Wet Ass Posluzny,Hayden Hurst,,
2022,8,14,8,t.8,Hail Koo,David Bell,,
2022,9,14,9,t.9,Tom Hanks,Kenny Golladay,,
2022,10,14,10,t.10,Weird Flex but OK,Christian Kirk,,
2022,11,14,11,t.11,The Dream Team,Kenny Pickett,,
2022,12,14,12,t.12,Figgy,Deshaun Watson,,
2022,1,15,1,t.1,Figgy,Packers,,
2022,2,15,2,t.2,The Dream Team,Parris Campbell,,
2022,3,15,3,t.3,Weird Flex but OK,Kadarius Toney,,
2022,4,15,4,t.4,Tom Hanks,Buccaneers,,
2022,5,15,5,t.5,Hail Koo,Cordarrelle Patterson,,
2022,6,15,6,t.6,Wet Ass Posluzny,Ronald Jones,,
2022,7,15,7,t.7,The Washington Football Team,Elijah Mitchell,,
2022,8,15,8,t.8,The pigeon outside Lems window,Amon-Ra St. Brown,,
2022,9,15,9,t.9,Barry Sandals,Rashaad Penny,,
2022,10,15,10,t.10,BergerBoy Brigade,Marcus Mariota,,
2022,11,15,11,t.11,Cadillac Crippling Crusaders,Tyler Bass,,
2022,12,15,12,t.12,Community Day Lamb,49ers,,
2022,1,16,1,t.1,Community Day Lamb,Nyheim Miller-Hines,,
2022,2,16,2,t.2,Cadillac Crippling Crusaders,Malik Willis,,
2022,3,16,3,t.3,BergerBoy Brigade,Russell Gage Jr.,,
2022,4,16,4,t.4,Barry Sandals,Colts,,
2022,5,16,5,t.5,The pigeon outside Lems window,Patriots,,
2022,6,16,6,t.6,The Washington Football Team,Irv Smith Jr.,,
2022,7,16,7,t.7,Wet Ass Posluzny,Evan McPherson,,
2022,8,16,8,t.8,Hail Koo,Rams,,
2022,9,16,9,t.9,Community Day Lamb,Sony Michel,,
2022,10,16,10,t.10,Weird Flex but OK,Broncos,,
2022,11,16,11,t.11,The Dream Team,Eagles,,
2022,12,16,12,t.12,Figgy,Eno Benjamin,,
2022,1,17,1,t.1,Figgy,Mason Crosby,,
2022,2,17,2,t.2,The Dream Team,Daniel Carlson,,
2022,3,17,3,t.3,Weird Flex but OK,Matt Gay,,
2022,4,17,4,t.4,Tom Hanks,Harrison Butker,,
2022,5,17,5,t.5,Hail Koo,Younghoe Koo,,
2022,6,17,6,t.6,Wet Ass Posluzny,Zamir White,,
2022,7,17,7,t.7,The Washington Football Team,Geno Smith,,
2022,8,17,8,t.8,The pigeon outside Lems window,Nick Folk,,
2022,9,17,9,t.9,Barry Sandals,Rodrigo Blankenship,,
2022,10,17,10,t.10,BergerBoy Brigade,John Metchie III,,
2022,11,17,11,t.11,Cadillac Crippling Crusaders,Odell Beckham Jr.,,
2022,12,17,12,t.12,Community Day Lamb,Darrel Williams,,
