name,position,team,adp,projection,bye,tier,rank_overall,rank_position
Dalton Kincaid,TE,BUF,102.8,125.6,0,99,102,999
Marvin Harrison,WR,ARI,103.1,145.7,0,99,103,999
Tony Pollard,RB,TEN,104.5,146.1,0,99,104,999
Rico Dowdle,RB,PIT,105.9,136.6,0,99,105,999
Oronde Gadsden,TE,LAC,106.3,122.1,0,99,106,999
Chuba Hubbard,RB,CAR,107.9,159.1,0,99,107,999
Blake Corum,RB,LAR,108.0,127.8,0,99,108,999
Ricky Pearsall,WR,SF,109.5,139.7,0,99,109,999
Alec Pierce,WR,IND,110.9,157.0,0,99,110,999
Chris Godwin,WR,TB,111.4,139.6,0,99,111,999
Parker Washington,WR,JAX,112.0,158.2,0,99,112,999
Hunter Henry,TE,NE,113.6,119.9,0,99,113,999
Dallas Goedert,TE,PHI,114.3,115.5,0,99,114,999
J.K. Dobbins,RB,DEN,115.9,147.2,0,99,115,999
Mark Andrews,TE,BAL,117.0,127.8,0,99,116,999
Jake Ferguson,TE,DAL,117.1,124.8,0,99,117,999
Dalton Schultz,TE,HOU,118.6,106.0,0,99,118,999
Jordan Addison,WR,MIN,119.8,134.1,0,99,119,999
Ty Simpson,QB,LAR,120.2,13.62,0,99,120,999
George Kittle,TE,SF,121.1,123.4,0,99,121,999
Brian Robinson,RB,ATL,122.2,63.4,0,99,122,999
Juwan Johnson,TE,NO,123.6,109.6,0,99,123,999
Wan'Dale Robinson,WR,TEN,125.0,127.0,0,99,124,999
Brenton Strange,TE,JAX,125.0,124.8,0,99,125,999
Travis Kelce,TE,KC,126.1,131.5,0,99,126,999
Michael Pittman,WR,PIT,127.0,133.5,0,99,127,999
Kenyon Sadiq,TE,NYJ,128.2,109.4,0,99,128,999
Quentin Johnston,WR,LAC,129.2,134.9,0,99,129,999
Aaron Jones,RB,MIN,130.8,136.8,0,99,130,999
Kenneth Gainwell,RB,TB,131.2,116.2,0,99,131,999
Isaiah Likely,TE,NYG,132.9,121.7,0,99,132,999
Stefon Diggs,WR,,133.0,134.6,0,99,133,999
Tyler Allgeier,RB,ARI,134.3,67.8,0,99,134,999
Romeo Doubs,WR,NE,135.8,138.7,0,99,135,999
James Conner,RB,ARI,136.9,53.8,0,99,136,999
Jayden Reed,WR,GB,137.3,136.8,0,99,137,999
Jacory Croskey-Merritt,RB,WAS,138.5,118.4,0,99,138,999
Khalil Shakir,WR,BUF,140.0,132.0,0,99,139,999
Xavier Worthy,WR,KC,141.0,134.0,0,99,140,999
Jauan Jennings,WR,MIN,141.0,108.1,0,99,141,999
Jadarian Price,RB,SEA,143.0,160.5,0,99,142,999
AJ Barner,TE,SEA,143.0,113.4,0,99,143,999
Zach Charbonnet,RB,SEA,145.0,68.8,0,99,144,999
Tua Tagovailoa,QB,ATL,146.0,137.94,0,99,145,999
Jayden Higgins,WR,HOU,146.7,135.2,0,99,146,999
T.J. Hockenson,TE,MIN,148.0,103.0,0,99,147,999
Woody Marks,RB,HOU,148.8,74.3,0,99,148,999
KC Concepcion,WR,CLE,149.9,122.2,0,99,149,999
Michael Penix,QB,ATL,150.4,108.38,0,99,150,999
J.J. McCarthy,QB,MIN,151.5,19.62,0,99,151,999
David Njoku,TE,LAC,152.8,64.2,0,99,152,999
Jalen Coker,WR,CAR,153.2,133.9,0,99,153,999
Tyrone Tracy,RB,NYG,154.4,100.8,0,99,154,999
Jordan Mason,RB,MIN,155.4,118.0,0,99,155,999
Josh Downs,WR,IND,156.2,132.1,0,99,156,999
Emmett Johnson,RB,KC,157.6,59.2,0,99,157,999
Colby Parkinson,TE,LAR,158.1,67.2,0,99,158,999
Jacoby Brissett,QB,ARI,159.6,160.0,0,99,159,999
Chig Okonkwo,TE,WAS,161.0,95.9,0,99,160,999
Trey Benson,RB,ARI,161.0,25.7,0,99,161,999
Shedeur Sanders,QB,CLE,162.0,55.2,0,99,162,999
Mason Taylor,TE,NYJ,163.4,60.8,0,99,163,999
Jonah Coleman,RB,DEN,164.1,59.3,0,99,164,999
Eli Stowers,TE,PHI,165.2,84.0,0,99,165,999
Alvin Kamara,RB,NO,166.1,40.9,0,99,166,999
Terrance Ferguson,TE,LAR,167.0,66.4,0,99,167,999
Tyjae Spears,RB,TEN,168.0,97.1,0,99,168,999
Rachaad White,RB,WAS,169.1,106.7,0,99,169,999
Theo Johnson,TE,NYG,170.6,61.5,0,99,170,999
Tyreek Hill,WR,,171.0,97.9,0,99,171,999
Cade Otton,TE,TB,173.0,100.0,0,99,172,999
Deebo Samuel,WR,,173.4,102.9,0,99,173,999
Omar Cooper,WR,NYJ,174.5,123.8,0,99,174,999
Dylan Sampson,RB,CLE,175.8,77.2,0,99,175,999
Gunnar Helm,TE,TEN,176.4,94.3,0,99,176,999
Denzel Boston,WR,CLE,177.9,119.2,0,99,177,999
Antonio Williams,WR,WAS,179.8,79.5,0,99,178,999
Travis Hunter,WR,JAX,180.4,79.1,0,99,179,999
Mac Jones,QB,SF,181.0,26.72,0,99,180,999
Anthony Richardson,QB,IND,182.2,36.54,0,99,181,999
Matthew Golden,WR,GB,184.0,132.3,0,99,182,999
Jerry Jeudy,WR,CLE,185.0,98.1,0,99,183,999
Braelon Allen,RB,NYJ,185.4,48.8,0,99,184,999
Geno Smith,QB,NYJ,186.5,222.48,0,99,185,999
Rashid Shaheed,WR,SEA,187.2,111.2,0,99,186,999
Adonai Mitchell,WR,NYJ,188.2,52.2,0,99,187,999
Kayshon Boutte,WR,NE,189.7,95.6,0,99,188,999
Mike Washington,RB,LV,190.6,57.5,0,99,189,999
Jalen McMillan,WR,TB,192.0,98.4,0,99,190,999
Kimani Vidal,RB,LAC,193.0,32.2,0,99,191,999
Chris Rodriguez,RB,JAX,193.8,125.0,0,99,192,999
Jonathon Brooks,RB,CAR,194.1,24.3,0,99,193,999
Troy Franklin,WR,DEN,195.2,70.6,0,99,194,999
Pat Bryant,WR,DEN,196.1,78.9,0,99,195,999
Tank Bigsby,RB,PHI,197.7,53.2,0,99,196,999
Chimere Dike,WR,TEN,199.0,70.4,0,99,197,999
Keaton Mitchell,RB,LAC,199.2,87.9,0,99,198,999
Brandon Aiyuk,WR,SF,200.0,106.3,0,99,199,999
Isiah Pacheco,RB,DET,201.4,48.6,0,99,200,999
Jake Tonges,TE,SF,202.4,55.8,0,99,201,999
Sean Tucker,RB,TB,204.0,48.5,0,99,202,999
Tre' Harris,WR,LAC,204.8,93.4,0,99,203,999
Calvin Ridley,WR,TEN,205.3,63.8,0,99,204,999
Kaytron Allen,RB,WAS,206.7,41.9,0,99,205,999
Ja'Kobi Lane,WR,BAL,207.3,74.1,0,99,206,999
Isaac TeSlaa,WR,DET,209.0,88.9,0,99,207,999
Elic Ayomanor,WR,TEN,210.0,46.7,0,99,208,999
Emanuel Wilson,RB,SEA,210.4,51.0,0,99,209,999
Joe Mixon,RB,,211.2,25.4,0,99,210,999
Zachariah Branch,WR,ATL,212.8,82.1,0,99,211,999
Tank Dell,WR,HOU,213.9,80.8,0,99,212,999
Tre Tucker,WR,LV,214.2,91.8,0,99,213,999
Justin Fields,QB,KC,216.0,34.72,0,99,214,999
Garrett Nussmeier,QB,KC,216.2,0.0,0,99,215,999
Ray Davis,RB,BUF,217.1,53.5,0,99,216,999
Nicholas Singleton,RB,TEN,218.9,57.7,0,99,217,999
Aaron Rodgers,QB,PIT,219.9,177.0,0,99,218,999
Devin Neal,RB,NO,220.1,28.4,0,99,219,999
Najee Harris,RB,,221.2,47.5,0,99,220,999
Jaylin Noel,WR,HOU,222.4,67.4,0,99,221,999
Jaylen Wright,RB,MIA,223.3,41.1,0,99,222,999
Kaleb Johnson,RB,PIT,224.7,29.5,0,99,223,999
Demond Claiborne,RB,MIN,225.8,25.8,0,99,224,999
Marvin Mims,WR,DEN,226.8,56.4,0,99,225,999
Jalen Milroe,QB,SEA,227.2,13.86,0,99,226,999
Germie Bernard,WR,PIT,228.4,80.9,0,99,227,999
Darnell Mooney,WR,NYG,229.7,58.5,0,99,228,999
Kyle Williams,WR,NE,230.1,51.8,0,99,229,999
Ted Hurst,WR,TB,231.3,83.2,0,99,230,999
Kendre Miller,RB,NO,233.0,4.6,0,99,231,999
Jalen Nailor,WR,LV,233.1,116.1,0,99,232,999
Brashard Smith,RB,KC,234.7,17.9,0,99,233,999
Ryan Flournoy,WR,DAL,235.5,94.0,0,99,234,999
Tory Horton,WR,SEA,236.8,88.8,0,99,235,999
Kirk Cousins,QB,LV,237.7,39.16,0,99,236,999
Elijah Sarratt,WR,BAL,238.5,73.1,0,99,237,999
Chris Brazzell,WR,CAR,240.0,70.8,0,99,238,999
Will Howard,QB,PIT,240.9,22.5,0,99,239,999
Chris Bell,WR,MIA,241.9,74.7,0,99,240,999
Rashod Bateman,WR,BAL,242.8,70.1,0,99,241,999
Keenan Allen,WR,,243.3,76.0,0,99,242,999
Keon Coleman,WR,BUF,244.0,31.8,0,99,243,999
Cooper Kupp,WR,SEA,245.5,70.4,0,99,244,999
Jaydon Blue,RB,DAL,246.4,41.4,0,99,245,999
Audric Estime,RB,NO,247.1,21.1,0,99,246,999
Jack Bech,WR,LV,248.9,71.7,0,99,247,999
Devaughn Vele,WR,NO,249.1,74.5,0,99,248,999
Jarquez Hunter,RB,LAR,250.6,8.6,0,99,249,999
Christian Kirk,WR,SF,251.1,60.7,0,99,250,999
Malachi Fields,WR,NYG,252.0,73.0,0,99,251,999
Max Klare,TE,LAR,253.8,66.7,0,99,252,999
Michael Trigg,TE,DAL,254.9,26.8,0,99,253,999
Quinn Ewers,QB,MIA,258.6,12.4,0,99,254,999
Deshaun Watson,QB,CLE,260.4,54.9,0,99,255,999
De'Zhaun Stribling,WR,SF,263.6,93.1,0,99,256,999
Cade Klubnik,QB,NYJ,275.6,24.0,0,99,257,999
Marcus Mariota,QB,WAS,276.1,13.12,0,99,258,999
Riley Leonard,QB,IND,277.0,0.0,0,99,259,999
Jameis Winston,QB,NYG,295.8,12.86,0,99,260,999
Joe Milton,QB,DAL,298.0,12.4,0,99,261,999
Tyson Bagent,QB,CHI,298.5,12.5,0,99,262,999
Carson Beck,QB,ARI,310.1,54.92,0,99,263,999
Brandon Aubrey,K,DAL,999.0,116.0,0,99,264,999
Ka'imi Fairbairn,K,HOU,999.0,113.0,0,99,265,999
Jason Myers,K,SEA,999.0,112.0,0,99,266,999
Cam Little,K,JAX,999.0,111.0,0,99,267,999
Will Reichard,K,MIN,999.0,108.0,0,99,268,999
Chris Boswell,K,PIT,999.0,107.0,0,99,269,999
Cameron Dicker,K,LAC,999.0,106.0,0,99,270,999
Evan McPherson,K,CIN,999.0,106.0,0,99,271,999
Tyler Loop,K,BAL,999.0,106.0,0,99,272,999
Chase McLaughlin,K,TB,999.0,105.0,0,99,273,999
Jake Bates,K,DET,999.0,105.0,0,99,274,999
Houston Texans,DEF,HOU,999.0,104.0,0,99,275,999
Harrison Mevis,K,LAR,999.0,104.0,0,99,276,999
Seattle Seahawks,DEF,SEA,999.0,103.0,0,99,277,999
Tyler Bass,K,BUF,999.0,103.0,0,99,278,999
Pat Freiermuth,TE,PIT,999.0,102.9,0,99,279,999
Denver Broncos,DEF,DEN,999.0,102.0,0,99,280,999
Eddy Pineiro,K,SF,999.0,101.0,0,99,281,999
Harrison Butker,K,KC,999.0,100.0,0,99,282,999
Wil Lutz,K,DEN,999.0,100.0,0,99,283,999
Cairo Santos,K,CHI,999.0,100.0,0,99,284,999
Blake Grupe,K,IND,999.0,99.0,0,99,285,999
Philadelphia Eagles,DEF,PHI,999.0,97.0,0,99,286,999
Andy Borregales,K,NE,999.0,96.0,0,99,287,999
Baltimore Ravens,DEF,BAL,999.0,95.0,0,99,288,999
Nick Folk,K,ATL,999.0,95.0,0,99,289,999
Daniel Carlson,K,,999.0,95.0,0,99,290,999
Los Angeles Rams,DEF,LAR,999.0,94.0,0,99,291,999
Zane Gonzalez,K,MIA,999.0,93.0,0,99,292,999
Charlie Smyth,K,NO,999.0,93.0,0,99,293,999
New England Patriots,DEF,NE,999.0,92.0,0,99,294,999
Jason Sanders,K,NYG,999.0,92.0,0,99,295,999
Ryan Fitzgerald,K,CAR,999.0,92.0,0,99,296,999
Jake Moody,K,WAS,999.0,91.0,0,99,297,999
Minnesota Vikings,DEF,MIN,999.0,90.0,0,99,298,999
Jake Elliott,K,PHI,999.0,90.0,0,99,299,999
Chad Ryland,K,ARI,999.0,89.0,0,99,300,999
Kansas City Chiefs,DEF,KC,999.0,87.0,0,99,301,999
Jacksonville Jaguars,DEF,JAX,999.0,87.0,0,99,302,999
Green Bay Packers,DEF,GB,999.0,86.0,0,99,303,999
Chicago Bears,DEF,CHI,999.0,86.0,0,99,304,999
Pittsburgh Steelers,DEF,PIT,999.0,85.0,0,99,305,999
Los Angeles Chargers,DEF,LAC,999.0,85.0,0,99,306,999
Cleveland Browns,DEF,CLE,999.0,85.0,0,99,307,999
Buffalo Bills,DEF,BUF,999.0,85.0,0,99,308,999
Indianapolis Colts,DEF,IND,999.0,84.0,0,99,309,999
Detroit Lions,DEF,DET,999.0,84.0,0,99,310,999
Joey Slye,K,TEN,999.0,84.0,0,99,311,999
Andre Szmyt,K,CLE,999.0,84.0,0,99,312,999
Mike Gesicki,TE,CIN,999.0,83.9,0,99,313,999
Atlanta Falcons,DEF,ATL,999.0,83.0,0,99,314,999
Malik Washington,WR,MIA,999.0,82.2,0,99,315,999
New York Giants,DEF,NYG,999.0,82.0,0,99,316,999
Tampa Bay Buccaneers,DEF,TB,999.0,81.0,0,99,317,999
Carolina Panthers,DEF,CAR,999.0,81.0,0,99,318,999
San Francisco 49ers,DEF,SF,999.0,79.0,0,99,319,999
Dallas Cowboys,DEF,DAL,999.0,79.0,0,99,320,999
Cincinnati Bengals,DEF,CIN,999.0,79.0,0,99,321,999
Darius Slayton,WR,NYG,999.0,78.6,0,99,322,999
Skyler Bell,WR,BUF,999.0,76.2,0,99,323,999
DeMario Douglas,WR,NE,999.0,75.4,0,99,324,999
Andrei Iosivas,WR,CIN,999.0,75.3,0,99,325,999
Washington Commanders,DEF,WAS,999.0,75.0,0,99,326,999
Matt Gay,K,LV,999.0,75.0,0,99,327,999
New Orleans Saints,DEF,NO,999.0,72.0,0,99,328,999
Dontayvion Wicks,WR,PHI,999.0,71.6,0,99,329,999
Darnell Washington,TE,PIT,999.0,71.4,0,99,330,999
Mack Hollins,WR,NE,999.0,71.3,0,99,331,999
Trey Smack,K,GB,999.0,70.0,0,99,332,999
Darren Waller,TE,,999.0,69.6,0,99,333,999
Tennessee Titans,DEF,TEN,999.0,68.0,0,99,334,999
Miami Dolphins,DEF,MIA,999.0,67.0,0,99,335,999
Arizona Cardinals,DEF,ARI,999.0,67.0,0,99,336,999
Las Vegas Raiders,DEF,LV,999.0,65.0,0,99,337,999
Dawson Knox,TE,BUF,999.0,62.4,0,99,338,999
New York Jets,DEF,NYJ,999.0,62.0,0,99,339,999
KaVontae Turpin,WR,DAL,999.0,61.0,0,99,340,999
Olamide Zaccheaus,WR,ATL,999.0,60.8,0,99,341,999
Cade York,K,NYJ,999.0,60.0,0,99,342,999
Michael Mayer,TE,LV,999.0,59.1,0,99,343,999
Elijah Arroyo,TE,SEA,999.0,57.7,0,99,344,999
Taylen Green,QB,CLE,999.0,57.6,0,99,345,999
Kendrick Bourne,WR,ARI,999.0,57.3,0,99,346,999
Evan Engram,TE,DEN,999.0,55.2,0,99,347,999
Theo Wease,WR,MIA,999.0,55.1,0,99,348,999
Marquise Brown,WR,PHI,999.0,55.0,0,99,349,999
Jordan James,RB,SF,999.0,54.2,0,99,350,999
Cole Kmet,TE,CHI,999.0,54.1,0,99,351,999
Jaylin Lane,WR,WAS,999.0,53.0,0,99,352,999
Tyquan Thornton,WR,KC,999.0,52.6,0,99,353,999
Jahan Dotson,WR,ATL,999.0,52.4,0,99,354,999
Greg Dulcich,TE,MIA,999.0,50.5,0,99,355,999
Jonnu Smith,TE,,999.0,49.2,0,99,356,999
Will Kacmarek,TE,MIA,999.0,49.1,0,99,357,999
Josh Cameron,WR,JAX,999.0,49.1,0,99,358,999
Ty Johnson,RB,BUF,999.0,47.3,0,99,359,999
Zavion Thomas,WR,CHI,999.0,47.2,0,99,360,999
LeQuint Allen,RB,JAX,999.0,47.2,0,99,361,999
Noah Gray,TE,KC,999.0,47.1,0,99,362,999
Justin Joly,TE,DEN,999.0,46.5,0,99,363,999
Joe Royer,TE,CLE,999.0,46.3,0,99,364,999
Brandon McManus,K,,999.0,46.0,0,99,365,999
Justice Hill,RB,BAL,999.0,45.0,0,99,366,999
Jack Endries,TE,CIN,999.0,42.8,0,99,367,999
Kaelon Black,RB,SF,999.0,39.3,0,99,368,999
Isaiah Davis,RB,NYJ,999.0,36.2,0,99,369,999
John Michael Gyllenborg,TE,KC,999.0,34.9,0,99,370,999
Ben Sauls,K,NYG,999.0,34.0,0,99,371,999
Konata Mumpfield,WR,LAR,999.0,33.7,0,99,372,999
