season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2018,1,1,1,t.1,Kareem Hunt did 9/11,Todd Gurley,,
2018,2,1,2,t.2,Barkley’s Biddies,Saquon Barkley,,
2018,3,1,3,t.3,Arnold Palmer Lite,Le'Veon Bell,,
2018,4,1,4,t.4,Kareem Hunt did 9/11,Ezekiel Elliott,,
2018,5,1,5,t.5,LEMVP & Associates,Leonard Fournette,,
2018,6,1,6,t.6,LEMVP & Associates,Melvin Gordon III,,
2018,7,1,7,t.7,Deez Hos Ain't Royal,Antonio Brown,,
2018,8,1,8,t.8,BergerBoy Brigade,DeAndre Hopkins,,
2018,9,1,9,t.9,BergerBoy Brigade,Dalvin Cook,,
2018,10,1,10,t.10,Arnold Palmer Lite,Joe Mixon,,
2018,1,2,1,t.1,Arnold Palmer Lite,Odell Beckham Jr.,,
2018,2,2,2,t.2,Land of the Freemans,Julio Jones,,
2018,3,2,3,t.3,Mrs. Doubtfire,Russell Wilson,,
2018,4,2,4,t.4,Deez Hos Ain't Royal,Christian McCaffrey,,
2018,5,2,5,t.5,The Mandingo...,LeSean McCoy,,
2018,6,2,6,t.6,LEMVP & Associates,Rob Gronkowski,,
2018,7,2,7,t.7,BergerBoy Brigade,Keenan Allen,,
2018,8,2,8,t.8,Arnold Palmer Lite,Mike Evans,,
2018,9,2,9,t.9,Barkley’s Biddies,Aaron Rodgers,,
2018,10,2,10,t.10,Kareem Hunt did 9/11,A.J. Green,,
2018,1,3,1,t.1,Kareem Hunt did 9/11,T.Y. Hilton,,
2018,2,3,2,t.2,Barkley’s Biddies,Stefon Diggs,,
2018,3,3,3,t.3,Arnold Palmer Lite,Marvin Jones Jr.,,
2018,4,3,4,t.4,BergerBoy Brigade,Jay Ajayi,,
2018,5,3,5,t.5,LEMVP & Associates,Tom Brady,,
2018,6,3,6,t.6,LEMVP & Associates,Travis Kelce,,
2018,7,3,7,t.7,Deez Hos Ain't Royal,Amari Cooper,,
2018,8,3,8,t.8,Arnold Palmer Lite,Drew Brees,,
2018,9,3,9,t.9,BergerBoy Brigade,Cam Newton,,
2018,10,3,10,t.10,LEMVP & Associates,Larry Fitzgerald,,
2018,1,4,1,t.1,The Dream Team,Lamar Miller,,
2018,2,4,2,t.2,Land of the Freemans,Royce Freeman,,
2018,3,4,3,t.3,Mrs. Doubtfire,Marlon Mack,,
2018,4,4,4,t.4,Deez Hos Ain't Royal,Jared Goff,,
2018,5,4,5,t.5,The Mandingo...,Mark Ingram II,,
2018,6,4,6,t.6,The Mandingo...,Ronald Jones,,
2018,7,4,7,t.7,BergerBoy Brigade,Brandin Cooks,,
2018,8,4,8,t.8,Arnold Palmer Lite,Matthew Stafford,,
2018,9,4,9,t.9,Barkley’s Biddies,Andrew Luck,,
2018,10,4,10,t.10,Kareem Hunt did 9/11,Kirk Cousins,,
2018,1,5,1,t.1,Kareem Hunt did 9/11,Ben Roethlisberger,,
2018,2,5,2,t.2,Barkley’s Biddies,Allen Robinson,,
2018,3,5,3,t.3,Arnold Palmer Lite,Tevin Coleman,,
2018,4,5,4,t.4,BergerBoy Brigade,Philip Rivers,,
2018,5,5,5,t.5,LEMVP & Associates,Matt Ryan,,
2018,6,5,6,t.6,The Mandingo...,Greg Olsen,,
2018,7,5,7,t.7,Deez Hos Ain't Royal,Jimmy Graham,,
2018,8,5,8,t.8,Mrs. Doubtfire,Will Fuller V,,
2018,9,5,9,t.9,Land of the Freemans,Demaryius Thomas,,
2018,10,5,10,t.10,LEMVP & Associates,Derek Carr,,
2018,1,6,1,t.1,The Dream Team,Rashaad Penny,,
2018,2,6,2,t.2,BergerBoy Brigade,Golden Tate,,
2018,3,6,3,t.3,Mrs. Doubtfire,Marshawn Lynch,,
2018,4,6,4,t.4,Deez Hos Ain't Royal,Marcus Mariota,,
2018,5,6,5,t.5,The Mandingo...,Alex Smith,,
2018,6,6,6,t.6,LEMVP & Associates,Chris Hogan,,
2018,7,6,7,t.7,Land of the Freemans,Kerryon Johnson,,
2018,8,6,8,t.8,Mrs. Doubtfire,Alshon Jeffery,,
2018,9,6,9,t.9,Barkley’s Biddies,Jarvis Landry,,
2018,10,6,10,t.10,Kareem Hunt did 9/11,Zach Ertz,,
2018,1,7,1,t.1,Kareem Hunt did 9/11,Derrick Henry,,
2018,2,7,2,t.2,Barkley’s Biddies,David Johnson,,
2018,3,7,3,t.3,Arnold Palmer Lite,Michael Crabtree,,
2018,4,7,4,t.4,BergerBoy Brigade,Evan Engram,,
2018,5,7,5,t.5,LEMVP & Associates,Jaguars,,
2018,6,7,6,t.6,The Mandingo...,Jamaal Williams,,
2018,7,7,7,t.7,Deez Hos Ain't Royal,Corey Davis,,
2018,8,7,8,t.8,Mrs. Doubtfire,Sammy Watkins,,
2018,9,7,9,t.9,Land of the Freemans,Devonta Freeman,,
2018,10,7,10,t.10,The Dream Team,Carson Wentz,,
2018,1,8,1,t.1,The Dream Team,Carlos Hyde,,
2018,2,8,2,t.2,Land of the Freemans,Patrick Mahomes,,
2018,3,8,3,t.3,BergerBoy Brigade,Sony Michel,,
2018,4,8,4,t.4,Deez Hos Ain't Royal,Michael Thomas,,
2018,5,8,5,t.5,The Mandingo...,Julian Edelman,,
2018,6,8,6,t.6,LEMVP & Associates,Chris Carson,,
2018,7,8,7,t.7,LEMVP & Associates,Stephen Gostkowski,,
2018,8,8,8,t.8,Arnold Palmer Lite,Corey Clement,,
2018,9,8,9,t.9,Barkley’s Biddies,Kareem Hunt,,
2018,10,8,10,t.10,Kareem Hunt did 9/11,Marquise Goodwin,,
2018,1,9,1,t.1,Kareem Hunt did 9/11,Cooper Kupp,,
2018,2,9,2,t.2,Barkley’s Biddies,Pierre Garcon,,
2018,3,9,3,t.3,Arnold Palmer Lite,Vikings,,
2018,4,9,4,t.4,Kareem Hunt did 9/11,Case Keenum,,
2018,5,9,5,t.5,LEMVP & Associates,Tarik Cohen,,
2018,6,9,6,t.6,The Mandingo...,Emmanuel Sanders,,
2018,7,9,7,t.7,Deez Hos Ain't Royal,Rams,,
2018,8,9,8,t.8,Kareem Hunt did 9/11,Randall Cobb,,
2018,9,9,9,t.9,Land of the Freemans,Deshaun Watson,,
2018,10,9,10,t.10,The Dream Team,Jordy Nelson,,
2018,1,10,1,t.1,The Dream Team,Calvin Ridley,,
2018,2,10,2,t.2,Land of the Freemans,Jameis Winston,,
2018,3,10,3,t.3,Mrs. Doubtfire,Isaiah Crowell,,
2018,4,10,4,t.4,Deez Hos Ain't Royal,Baker Mayfield,,
2018,5,10,5,t.5,The Mandingo...,Marqise Lee,,
2018,6,10,6,t.6,LEMVP & Associates,Nick Foles,,
2018,7,10,7,t.7,Mrs. Doubtfire,Allen Hurns,,
2018,8,10,8,t.8,Arnold Palmer Lite,Delanie Walker,,
2018,9,10,9,t.9,Barkley’s Biddies,Kyle Rudolph,,
2018,10,10,10,t.10,Kareem Hunt did 9/11,Robert Woods,,
2018,1,11,1,t.1,Kareem Hunt did 9/11,Ryan Tannehill,,
2018,2,11,2,t.2,Barkley’s Biddies,Tyrod Taylor,,
2018,3,11,3,t.3,Arnold Palmer Lite,Justin Tucker,,
2018,4,11,4,t.4,BergerBoy Brigade,Dion Lewis,,
