season,overall_pick,round,pick_in_round,team_id,team_name,player_name,position,is_keeper
2016,1,1,1,t.1,Trust the Process,Antonio Brown,,
2016,2,1,2,t.2,Dirty Old Men,Julio Jones,,
2016,3,1,3,t.3,Arnold Palmer Lite,Adrian Peterson,,
2016,4,1,4,t.4,Raichu a Love Song,A.J. Green,,
2016,5,1,5,t.5,Deez Hos Ain't Royal,Ezekiel Elliott,,
2016,6,1,6,t.6,Sunday Scaries,Jamaal Charles,,
2016,7,1,7,t.7,Trust the Process,Aaron Rodgers,,
2016,8,1,8,t.8,Joffrey Sucks,Cam Newton,,
2016,9,1,9,t.9,Tyrodasaurus Rex,Brandon Marshall,,
2016,10,1,10,t.10,Bing Bong Brothers,Todd Gurley,,
2016,1,2,1,t.1,Arnold Palmer Lite,Russell Wilson,,
2016,2,2,2,t.2,Dirty Old Men,Rob Gronkowski,,
2016,3,2,3,t.3,Joffrey Sucks,Eddie Lacy,,
2016,4,2,4,t.4,BergerBoy Brigade,Dez Bryant,,
2016,5,2,5,t.5,Sunday Scaries,LeSean McCoy,,
2016,6,2,6,t.6,Deez Hos Ain't Royal,Brandin Cooks,,
2016,7,2,7,t.7,Trust the Process,Matt Forte,,
2016,8,2,8,t.8,Arnold Palmer Lite,Andrew Luck,,
2016,9,2,9,t.9,Dirty Old Men,Sammy Watkins,,
2016,10,2,10,t.10,Trust the Process,Amari Cooper,,
2016,1,3,1,t.1,Trust the Process,T.Y. Hilton,,
2016,2,3,2,t.2,Dirty Old Men,Drew Brees,,
2016,3,3,3,t.3,Arnold Palmer Lite,Julian Edelman,,
2016,4,3,4,t.4,Raichu a Love Song,Keenan Allen,,
2016,5,3,5,t.5,Deez Hos Ain't Royal,Ben Roethlisberger,,
2016,6,3,6,t.6,Sunday Scaries,Demaryius Thomas,,
2016,7,3,7,t.7,Sunday Scaries,Carlos Hyde,,
2016,8,3,8,t.8,Trust the Process,Randall Cobb,,
2016,9,3,9,t.9,Tyrodasaurus Rex,Le'Veon Bell,,
2016,10,3,10,t.10,Dirty Old Men,Arian Foster,,
2016,1,4,1,t.1,Bing Bong Brothers,Greg Olsen,,
2016,2,4,2,t.2,Tyrodasaurus Rex,Jeremy Maclin,,
2016,3,4,3,t.3,Joffrey Sucks,Tom Brady,,
2016,4,4,4,t.4,BergerBoy Brigade,Carson Palmer,,
2016,5,4,5,t.5,Trust the Process,Ryan Mathews,,
2016,6,4,6,t.6,Deez Hos Ain't Royal,Eric Decker,,
2016,7,4,7,t.7,Raichu a Love Song,DeMarco Murray,,
2016,8,4,8,t.8,Arnold Palmer Lite,Melvin Gordon III,,
2016,9,4,9,t.9,Dirty Old Men,Ameer Abdullah,,
2016,10,4,10,t.10,Sunday Scaries,Allen Robinson,,
2016,1,5,1,t.1,Trust the Process,Matt Jones,,
2016,2,5,2,t.2,Arnold Palmer Lite,Delanie Walker,,
2016,3,5,3,t.3,Arnold Palmer Lite,John Brown,,
2016,4,5,4,t.4,Raichu a Love Song,Eli Manning,,
2016,5,5,5,t.5,Deez Hos Ain't Royal,Travis Kelce,,
2016,6,5,6,t.6,Sunday Scaries,Philip Rivers,,
2016,7,5,7,t.7,Trust the Process,DeAngelo Williams,,
2016,8,5,8,t.8,Joffrey Sucks,Michael Floyd,,
2016,9,5,9,t.9,Tyrodasaurus Rex,Frank Gore,,
2016,10,5,10,t.10,BergerBoy Brigade,Mike Evans,,
2016,1,6,1,t.1,Bing Bong Brothers,Allen Hurns,,
2016,2,6,2,t.2,Tyrodasaurus Rex,Josh Gordon,,
2016,3,6,3,t.3,Joffrey Sucks,Coby Fleener,,
2016,4,6,4,t.4,Sunday Scaries,DeAndre Hopkins,,
2016,5,6,5,t.5,BergerBoy Brigade,Lamar Miller,,
2016,6,6,6,t.6,Deez Hos Ain't Royal,Doug Martin,,
2016,7,6,7,t.7,Raichu a Love Song,Jordan Matthews,,
2016,8,6,8,t.8,Arnold Palmer Lite,Emmanuel Sanders,,
2016,9,6,9,t.9,Dirty Old Men,Tyrod Taylor,,
2016,10,6,10,t.10,Bing Bong Brothers,Chris Ivory,,
2016,1,7,1,t.1,Joffrey Sucks,Marvin Jones Jr.,,
2016,2,7,2,t.2,Dirty Old Men,Broncos,,
2016,3,7,3,t.3,BergerBoy Brigade,Larry Fitzgerald,,
2016,4,7,4,t.4,Raichu a Love Song,Matthew Stafford,,
2016,5,7,5,t.5,Deez Hos Ain't Royal,Golden Tate,,
